"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Williams",NA,NA,"B","B1",0,0
3,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA01AWAY03",1,1,"Williams",NA,NA,"B","B1",2,"Williams",NA,NA,"B","B2",0,0
4,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA01AWAY04",1,2,"Williams",NA,NA,"B","B2",3,"Williams",NA,NA,"B","B3",0,0
5,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Mangum",NA,NA,"B","B0",0,4
6,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME02",2,0,"Mangum",NA,NA,"B","B0",0,NA,"Westburg",NA,"C","C0",1,4
7,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME03",1,0,NA,"Westburg",NA,"C","C0",0,"Allen","Westburg",NA,"E","E0",0,3
8,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME04",3,0,"Allen","Westburg",NA,"E","E0",1,"Macnamee","Allen",NA,"E","E1",0,3
9,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME05",3,1,"Macnamee","Allen",NA,"E","E1",1,"Foscue","Macnamee",NA,"E","E1",1,3
10,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME06",3,1,"Foscue","Macnamee",NA,"E","E1",1,"Skelton",NA,"Foscue","F","F1",1,2
11,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME07",1,1,"Skelton",NA,"Foscue","F","F1",2,"Skelton",NA,"Foscue","F","F2",0,1
12,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME08",4,2,"Skelton",NA,"Foscue","F","F2",2,NA,"Jordan","Skelton","G","G2",1,1
13,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME09",1,2,NA,"Jordan","Skelton","G","G2",2,"Halter","Jordan","Skelton","H","H2",0,0
14,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA02HOME11",1,2,"Halter","Jordan","Skelton","H","H2",3,"Halter","Jordan","Skelton","H","H3",0,0
15,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Davis",NA,NA,"B","B0",0,1
16,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA03AWAY02",2,0,"Davis",NA,NA,"B","B0",0,NA,"Bliss","Davis","G","G0",0,1
17,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA03AWAY03",1,0,NA,"Bliss","Davis","G","G0",1,NA,"Bliss","Davis","G","G1",0,1
18,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA03AWAY04",3,1,NA,"Bliss","Davis","G","G1",2,NA,NA,"Bliss","D","D2",1,1
19,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA03AWAY05",1,2,NA,NA,"Bliss","D","D2",3,NA,NA,"Bliss","D","D3",0,0
20,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
21,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Allen",NA,NA,"B","B1",0,0
22,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA04HOME03",2,1,"Allen",NA,NA,"B","B1",1,NA,"Macnamee","Allen","G","G1",0,0
23,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA04HOME04",1,1,NA,"Macnamee","Allen","G","G1",1,"Foscue","Macnamee","Allen","H","H1",0,0
24,"AUBN_MSST_0323201901","AUBN_MSST_0323201901_PA04HOME05",2,1,"Foscue","Macnamee","Allen","H","H1",3,NA,"Macnamee","Allen","G","G3",0,0
