"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA01AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA01AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA01AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
7,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Julien",NA,NA,"B","B0",0,3
8,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY02",1,0,"Julien",NA,NA,"B","B0",0,NA,"Julien",NA,"C","C0",0,3
9,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY03",2,0,NA,"Julien",NA,"C","C0",0,"Davis",NA,NA,"B","B0",1,3
10,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY04",2,0,"Davis",NA,NA,"B","B0",0,"Bliss",NA,"Davis","F","F0",0,2
11,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY05",3,0,"Bliss",NA,"Davis","F","F0",0,"Howell",NA,"Bliss","F","F0",1,2
12,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY06",3,0,"Howell",NA,"Bliss","F","F0",0,"Ward","Howell",NA,"E","E0",1,1
13,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY07",1,0,"Ward","Howell",NA,"E","E0",1,"Ward","Howell",NA,"E","E1",0,0
14,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY08",1,1,"Ward","Howell",NA,"E","E1",2,"Ward","Howell",NA,"E","E2",0,0
15,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA03AWAY09",1,2,"Ward","Howell",NA,"E","E2",3,"Ward","Howell",NA,"E","E3",0,0
16,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
17,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Cullen",NA,NA,"B","B1",0,0
18,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA04HOME03",1,1,"Cullen",NA,NA,"B","B1",2,"Cullen",NA,NA,"B","B2",0,0
19,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA04HOME04",1,2,"Cullen",NA,NA,"B","B2",3,"Cullen",NA,NA,"B","B3",0,0
20,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Woley",NA,NA,"B","B0",0,0
21,"AUBN_SCAR_0329201901","AUBN_SCAR_0329201901_PA05AWAY02",2,0,"Woley",NA,NA,"B","B0",1,"Julien",NA,NA,"B","B1",0,0
