Sequence,GameID,PlateAppID,NumComponents,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,FinalBaseOutState,TotalRPrime,R
1,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY02,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
2,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY03,1,1,NA,NA,NA,A,A1,1,Howell,NA,NA,B,B1,0,0
3,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY04,1,1,Howell,NA,NA,B,B1,2,Howell,NA,NA,B,B2,0,0
4,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY05,1,2,Howell,NA,NA,B,B2,3,Howell,NA,NA,B,B3,0,0
5,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,1
6,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME02,1,1,NA,NA,NA,A,A1,1,Hopkins,NA,NA,B,B1,0,1
7,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME03,2,1,Hopkins,NA,NA,B,B1,1,Berryhill,Hopkins,NA,E,E1,0,1
8,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME04,3,1,Berryhill,Hopkins,NA,E,E1,1,Olson,Berryhill,Hopkins,H,H1,0,1
9,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME05,4,1,Olson,Berryhill,Hopkins,H,H1,1,Cullen,Olson,Berryhill,H,H1,1,1
10,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME06,1,1,Cullen,Olson,Berryhill,H,H1,2,Cullen,Olson,Berryhill,H,H2,0,0
11,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME07,1,2,Cullen,Olson,Berryhill,H,H2,3,Cullen,Olson,Berryhill,H,H3,0,0
12,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,6
13,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY02,1,1,NA,NA,NA,A,A1,1,Davis,NA,NA,B,B1,0,6
14,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY03,2,1,Davis,NA,NA,B,B1,1,NA,NA,NA,A,A1,2,6
15,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY04,1,1,NA,NA,NA,A,A1,1,Bliss,NA,NA,B,B1,0,4
16,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY05,1,1,Bliss,NA,NA,B,B1,1,NA,Bliss,NA,C,C1,0,4
17,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY06,1,1,NA,Bliss,NA,C,C1,1,Scheffler,Bliss,NA,E,E1,0,4
18,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY08,2,1,Scheffler,Bliss,NA,E,E1,2,Scheffler,NA,Bliss,F,F2,0,4
19,AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA03AWAY09,3,2,Scheffler,NA,Bliss,F,F2,2,Howell,Scheffler,NA,E,E2,1,4
