"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
7,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
13,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Bliss",NA,NA,"B","B0",0,1
14,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY02",2,0,"Bliss",NA,NA,"B","B0",1,NA,"Bliss",NA,"C","C1",0,1
15,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY03",1,1,NA,"Bliss",NA,"C","C1",1,NA,NA,"Bliss","D","D1",0,1
16,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY04",2,1,NA,NA,"Bliss","D","D1",1,"Holland",NA,NA,"B","B1",1,1
17,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY06",1,1,"Holland",NA,NA,"B","B1",2,"Holland",NA,NA,"B","B2",0,0
18,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY07",2,2,"Holland",NA,NA,"B","B2",2,"Howell","Holland",NA,"E","E2",0,0
19,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA05AWAY08",1,2,"Howell","Holland",NA,"E","E2",3,"Howell","Holland",NA,"E","E3",0,0
20,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
21,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
22,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",2,"Deloach",NA,NA,"B","B2",0,0
23,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA06HOME04",2,2,"Deloach",NA,NA,"B","B2",3,"Blaum",NA,NA,"B","B3",0,0
24,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
25,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
26,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
27,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Blake",NA,NA,"B","B0",0,4
28,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME02",2,0,"Blake",NA,NA,"B","B0",0,"Shewmake",NA,"Blake","F","F0",0,4
29,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME03",3,0,"Shewmake",NA,"Blake","F","F0",0,"Hoehner",NA,"Shewmake","F","F0",1,4
30,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME05",3,0,"Hoehner",NA,"Shewmake","F","F0",0,NA,NA,NA,"A","A0",3,3
31,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME06",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
32,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME07",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
33,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA08HOME08",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
34,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,"Bliss",NA,NA,"B","B0",0,0
35,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA09AWAY02",2,0,"Bliss",NA,NA,"B","B0",1,"Williams",NA,NA,"B","B1",0,0
36,"AUBN_TXAM_0414201901","AUBN_TXAM_0414201901_PA09AWAY03",2,1,"Williams",NA,NA,"B","B1",1,NA,"Holland","Williams","G","G1",0,0
