"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Julien",NA,NA,"B","B2",0,0
4,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA01AWAY04",1,2,"Julien",NA,NA,"B","B2",3,"Julien",NA,NA,"B","B3",0,0
5,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Martin",NA,NA,"B","B0",0,4
6,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME02",1,0,"Martin",NA,NA,"B","B0",0,NA,"Martin",NA,"C","C0",0,4
7,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME03",1,0,NA,"Martin",NA,"C","C0",1,NA,"Martin",NA,"C","C1",0,4
8,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME04",2,1,NA,"Martin",NA,"C","C1",1,"Paul",NA,NA,"B","B1",1,4
9,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME05",1,1,"Paul",NA,NA,"B","B1",2,"Paul",NA,NA,"B","B2",0,3
10,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME06",2,2,"Paul",NA,NA,"B","B2",2,"Ray","Paul",NA,"E","E2",0,3
11,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME07",2,2,"Ray","Paul",NA,"E","E2",2,NA,"Ray","Paul","G","G2",0,3
12,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME08",3,2,NA,"Ray","Paul","G","G2",2,NA,NA,NA,"A","A2",3,3
13,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME09",1,2,NA,NA,NA,"A","A2",2,"Demarco",NA,NA,"B","B2",0,0
14,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA02HOME11",1,2,"Demarco",NA,NA,"B","B2",3,"Demarco",NA,NA,"B","B3",0,0
15,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
19,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,NA,"Martin",NA,"C","C1",0,0
20,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA04HOME03",1,1,NA,"Martin",NA,"C","C1",1,NA,NA,"Martin","D","D1",0,0
21,"AUBN_VAND_0426201901","AUBN_VAND_0426201901_PA04HOME04",1,1,NA,NA,"Martin","D","D1",2,NA,NA,"Martin","D","D2",0,0
