"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Langworthy",NA,NA,"B","B1",0,0
3,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA01AWAY03",1,1,"Langworthy",NA,NA,"B","B1",1,NA,"Langworthy",NA,"C","C1",0,0
4,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA01AWAY04",1,1,NA,"Langworthy",NA,"C","C1",2,NA,"Langworthy",NA,"C","C2",0,0
5,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA01AWAY05",1,2,NA,"Langworthy",NA,"C","C2",3,NA,"Langworthy",NA,"C","C3",0,0
6,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,NA,"Smith",NA,"C","C0",0,3
7,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME02",1,0,NA,"Smith",NA,"C","C0",0,"Broussard","Smith",NA,"E","E0",0,3
8,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME03",4,0,"Broussard","Smith",NA,"E","E0",0,NA,"Duplantis","Broussard","G","G0",1,3
9,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME04",1,0,NA,"Duplantis","Broussard","G","G0",0,"Cabrera","Duplantis","Broussard","H","H0",0,2
10,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME05",4,0,"Cabrera","Duplantis","Broussard","H","H0",1,"Beloso",NA,"Duplantis","F","F1",1,2
11,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME06",3,1,"Beloso",NA,"Duplantis","F","F1",1,NA,"Willis","Beloso","G","G1",1,1
12,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME07",1,1,NA,"Willis","Beloso","G","G1",2,NA,"Willis","Beloso","G","G2",0,0
13,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA02HOME08",1,2,NA,"Willis","Beloso","G","G2",3,NA,"Willis","Beloso","G","G3",0,0
14,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Dalton",NA,NA,"B","B1",0,0
16,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA03AWAY03",1,1,"Dalton",NA,NA,"B","B1",2,"Dalton",NA,NA,"B","B2",0,0
17,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA03AWAY04",1,2,"Dalton",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
18,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Bianco",NA,NA,"B","B0",0,3
19,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME02",2,0,"Bianco",NA,NA,"B","B0",0,NA,"Smith",NA,"C","C0",1,3
20,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME03",1,0,NA,"Smith",NA,"C","C0",0,"Broussard","Smith",NA,"E","E0",0,2
21,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME05",2,0,"Broussard","Smith",NA,"E","E0",0,NA,"Broussard","Smith","G","G0",0,2
22,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME06",3,0,NA,"Broussard","Smith","G","G0",0,"Duplantis",NA,"Broussard","F","F0",1,2
23,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME07",3,0,"Duplantis",NA,"Broussard","F","F0",2,NA,NA,NA,"A","A2",1,1
24,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME08",1,2,NA,NA,NA,"A","A2",2,"Beloso",NA,NA,"B","B2",0,0
25,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA04HOME09",1,2,"Beloso",NA,NA,"B","B2",3,"Beloso",NA,NA,"B","B3",0,0
26,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
27,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
28,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
29,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,3
30,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,3
31,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",2,"Bianco",NA,NA,"B","B2",0,3
32,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME04",2,2,"Bianco",NA,NA,"B","B2",2,"Smith","Bianco",NA,"E","E2",0,3
33,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME05",3,2,"Smith","Bianco",NA,"E","E2",2,"Broussard","Smith","Bianco","H","H2",0,3
34,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME06",4,2,"Broussard","Smith","Bianco","H","H2",2,"Duplantis",NA,"Broussard","F","F2",2,3
35,"FLOR_LSTU_0420201901","FLOR_LSTU_0420201901_PA06HOME07",3,2,"Duplantis",NA,"Broussard","F","F2",2,"Cabrera",NA,"Duplantis","F","F2",1,1
