"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Maldonado",NA,NA,"B","B2",0,0
4,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA01AWAY04",1,2,"Maldonado",NA,NA,"B","B2",3,"Maldonado",NA,NA,"B","B3",0,0
5,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA02HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
9,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Calilao",NA,NA,"B","B1",0,1
10,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA03AWAY03",3,1,"Calilao",NA,NA,"B","B1",1,NA,NA,"Calilao","D","D1",0,1
11,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA03AWAY04",2,1,NA,NA,"Calilao","D","D1",2,NA,NA,"Calilao","D","D2",1,1
12,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA03AWAY05",1,2,NA,NA,"Calilao","D","D2",3,NA,NA,"Calilao","D","D3",0,0
13,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
14,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
15,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
16,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Mcconnell",NA,NA,"B","B0",0,1
17,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA05AWAY02",2,0,"Mcconnell",NA,NA,"B","B0",0,"Langworthy",NA,"Mcconnell","F","F0",0,1
18,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA05AWAY04",3,0,"Langworthy",NA,"Mcconnell","F","F0",1,"Maldonado",NA,NA,"B","B1",1,1
19,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA05AWAY05",1,1,"Maldonado",NA,NA,"B","B1",2,"Maldonado",NA,NA,"B","B2",0,0
20,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA05AWAY06",1,2,"Maldonado",NA,NA,"B","B2",2,NA,"Maldonado",NA,"C","C2",0,0
21,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA05AWAY07",1,2,NA,"Maldonado",NA,"C","C2",3,NA,"Maldonado",NA,"C","C3",0,0
22,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Ortiz",NA,NA,"B","B0",0,0
23,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA06HOME02",1,0,"Ortiz",NA,NA,"B","B0",1,"Ortiz",NA,NA,"B","B1",0,0
24,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA06HOME03",1,1,"Ortiz",NA,NA,"B","B1",2,"Ortiz",NA,NA,"B","B2",0,0
25,"FLOR_MIZZ_0518201901","FLOR_MIZZ_0518201901_PA06HOME04",1,2,"Ortiz",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
