"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Maldonado",NA,NA,"B","B2",0,0
4,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA01AWAY04",1,2,"Maldonado",NA,NA,"B","B2",3,"Maldonado",NA,NA,"B","B3",0,0
5,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
6,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Kessinger",NA,NA,"B","B1",0,2
7,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME03",1,1,"Kessinger",NA,NA,"B","B1",2,"Kessinger",NA,NA,"B","B2",0,2
8,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME04",2,2,"Kessinger",NA,NA,"B","B2",2,"Dillard","Kessinger",NA,"E","E2",0,2
9,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME05",2,2,"Dillard","Kessinger",NA,"E","E2",2,NA,"Dillard","Kessinger","G","G2",0,2
10,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME06",2,2,NA,"Dillard","Kessinger","G","G2",2,NA,NA,"Dillard","D","D2",1,2
11,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME07",1,2,NA,NA,"Dillard","D","D2",2,"Zabowski",NA,"Dillard","F","F2",0,1
12,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA02HOME08",2,2,"Zabowski",NA,"Dillard","F","F2",3,NA,NA,NA,"A","A3",1,1
13,"FLOR_OMSS_0406201901","FLOR_OMSS_0406201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
