"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
7,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
11,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,NA,NA,NA,"A","A1",1,1
12,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA04HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
13,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA04HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
14,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
15,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",1,NA,NA,NA,"A","A1",1,1
16,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA05AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA05AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
19,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA06HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
20,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA06HOME04",2,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
21,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA07AWAY03",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
22,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA07AWAY04",2,1,NA,NA,NA,"A","A1",1,NA,NA,"Schunk","D","D1",0,0
23,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA07AWAY05",2,1,NA,NA,"Schunk","D","D1",3,NA,NA,NA,"A","A3",0,0
24,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA08HOME02",1,0,NA,NA,NA,"A","A0",0,"Bliss",NA,NA,"B","B0",0,2
25,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA08HOME03",2,0,"Bliss",NA,NA,"B","B0",0,"Davis","Bliss",NA,"E","E0",0,2
26,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA08HOME04",4,0,"Davis","Bliss",NA,"E","E0",1,NA,"Davis","Bliss","G","G1",0,2
27,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA08HOME06",3,1,NA,"Davis","Bliss","G","G1",1,"Holland",NA,"Davis","F","F1",1,2
28,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA08HOME07",3,1,"Holland",NA,"Davis","F","F1",2,"Woley",NA,NA,"B","B2",1,1
29,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA08HOME08",1,2,"Woley",NA,NA,"B","B2",3,"Woley",NA,NA,"B","B3",0,0
30,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
31,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA09AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
32,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA09AWAY03",1,1,NA,NA,NA,"A","A1",1,"Rogers",NA,NA,"B","B1",0,0
33,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA09AWAY04",1,1,"Rogers",NA,NA,"B","B1",2,"Rogers",NA,NA,"B","B2",0,0
34,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA09AWAY05",2,2,"Rogers",NA,NA,"B","B2",2,"Jernigan","Rogers",NA,"E","E2",0,0
35,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA09AWAY06",1,2,"Jernigan","Rogers",NA,"E","E2",3,"Jernigan","Rogers",NA,"E","E3",0,0
36,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Williams",NA,NA,"B","B0",0,0
37,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA10HOME02",2,0,"Williams",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
38,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA10HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
39,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
40,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
41,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA11AWAY03",1,2,NA,NA,NA,"A","A2",2,"Talley",NA,NA,"B","B2",0,1
42,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA11AWAY05",2,2,"Talley",NA,NA,"B","B2",2,NA,"Cable",NA,"C","C2",1,1
43,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA11AWAY06",1,2,NA,"Cable",NA,"C","C2",3,NA,"Cable",NA,"C","C3",0,0
44,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
45,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA12HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
46,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA12HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
47,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA13AWAY03",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
48,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA13AWAY04",1,1,NA,NA,NA,"A","A1",1,"Meadows",NA,NA,"B","B1",0,0
49,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA13AWAY05",1,1,"Meadows",NA,NA,"B","B1",1,NA,"Meadows",NA,"C","C1",0,0
50,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA13AWAY06",1,1,NA,"Meadows",NA,"C","C1",2,NA,"Meadows",NA,"C","C2",0,0
51,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA13AWAY07",1,2,NA,"Meadows",NA,"C","C2",3,NA,"Meadows",NA,"C","C3",0,0
52,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA14HOME02",2,0,NA,NA,NA,"A","A0",0,NA,"Holland",NA,"C","C0",0,0
53,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA14HOME03",1,0,NA,"Holland",NA,"C","C0",1,NA,"Holland",NA,"C","C1",0,0
54,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA14HOME04",1,1,NA,"Holland",NA,"C","C1",2,NA,"Holland",NA,"C","C2",0,0
55,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA14HOME05",1,2,NA,"Holland",NA,"C","C2",2,"Williams","Holland",NA,"E","E2",0,0
56,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA14HOME07",1,2,"Williams","Holland",NA,"E","E2",3,"Williams","Holland",NA,"E","E3",0,0
57,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA15AWAY01",1,0,NA,NA,NA,"A","A0",0,"King",NA,NA,"B","B0",0,0
58,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA15AWAY02",2,0,"King",NA,NA,"B","B0",1,"Schunk",NA,NA,"B","B1",0,0
59,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA15AWAY03",1,1,"Schunk",NA,NA,"B","B1",2,"Schunk",NA,NA,"B","B2",0,0
60,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA15AWAY04",1,2,"Schunk",NA,NA,"B","B2",3,"Schunk",NA,NA,"B","B3",0,0
61,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA16HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
62,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA16HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
63,"GEOR_AUBN_0511201901","GEOR_AUBN_0511201901_PA16HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
