"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,5
2,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"King",NA,NA,"B","B1",0,5
3,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY03",2,1,"King",NA,NA,"B","B1",1,"Schunk","King",NA,"E","E1",0,5
4,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY04",3,1,"Schunk","King",NA,"E","E1",1,NA,"Talley","Schunk","G","G1",1,5
5,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY05",1,1,NA,"Talley","Schunk","G","G1",1,"Cable","Talley","Schunk","H","H1",0,4
6,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY06",4,1,"Cable","Talley","Schunk","H","H1",1,NA,NA,NA,"A","A1",4,4
7,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY07",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA01AWAY08",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
9,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
10,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA02HOME02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
11,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Collett",NA,NA,"B","B2",0,0
12,"GEOR_KENT_0330201901","GEOR_KENT_0330201901_PA02HOME04",1,2,"Collett",NA,NA,"B","B2",3,"Collett",NA,NA,"B","B3",0,0
