"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,"Maxwell",NA,NA,"B","B0",0,0
2,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA01AWAY02",2,0,"Maxwell",NA,NA,"B","B0",0,"King","Maxwell",NA,"E","E0",0,0
3,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA01AWAY03",1,0,"King","Maxwell",NA,"E","E0",1,"King","Maxwell",NA,"E","E1",0,0
4,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA01AWAY04",1,1,"King","Maxwell",NA,"E","E1",2,"King","Maxwell",NA,"E","E2",0,0
5,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA01AWAY05",1,2,"King","Maxwell",NA,"E","E2",3,"King","Maxwell",NA,"E","E3",0,0
6,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
9,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
10,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
11,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Tate",NA,NA,"B","B2",0,0
12,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA03AWAY04",2,2,"Tate",NA,NA,"B","B2",3,"Marshall",NA,NA,"B","B3",0,0
13,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Macnamee",NA,NA,"B","B0",0,1
14,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA04HOME02",2,0,"Macnamee",NA,NA,"B","B0",1,"Foscue",NA,NA,"B","B1",0,1
15,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA04HOME03",2,1,"Foscue",NA,NA,"B","B1",1,"Jordan",NA,"Foscue","F","F1",0,1
16,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA04HOME04",2,1,"Jordan",NA,"Foscue","F","F1",2,"Jordan",NA,NA,"B","B2",1,1
17,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA04HOME05",2,2,"Jordan",NA,NA,"B","B2",2,"Hancock",NA,"Jordan","F","F2",0,0
18,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA04HOME06",1,2,"Hancock",NA,"Jordan","F","F2",3,"Hancock",NA,"Jordan","F","F3",0,0
19,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
22,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Mangum",NA,NA,"B","B0",0,0
23,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA06HOME02",2,0,"Mangum",NA,NA,"B","B0",1,NA,"Mangum",NA,"C","C1",0,0
24,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA06HOME03",1,1,NA,"Mangum",NA,"C","C1",2,NA,"Mangum",NA,"C","C2",0,0
25,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA06HOME05",1,2,NA,"Mangum",NA,"C","C2",3,NA,"Mangum",NA,"C","C3",0,0
26,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
27,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",1,"Shepherd",NA,NA,"B","B1",0,0
28,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA07AWAY03",2,1,"Shepherd",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
29,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
30,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA08HOME02",1,1,NA,NA,NA,"A","A1",1,"Jordan",NA,NA,"B","B1",0,0
31,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA08HOME03",2,1,"Jordan",NA,NA,"B","B1",2,"Skelton",NA,NA,"B","B2",0,0
32,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA08HOME04",1,2,"Skelton",NA,NA,"B","B2",3,"Skelton",NA,NA,"B","B3",0,0
33,"GEOR_MSST_0428201901","GEOR_MSST_0428201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
