"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Schunk",NA,NA,"B","B2",0,0
4,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA01AWAY04",1,2,"Schunk",NA,NA,"B","B2",3,"Schunk",NA,NA,"B","B3",0,0
5,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
10,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Rogers",NA,NA,"B","B2",0,0
11,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA03AWAY04",1,2,"Rogers",NA,NA,"B","B2",3,"Rogers",NA,NA,"B","B3",0,0
12,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
13,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA04HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
14,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA04HOME03",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
15,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA04HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
16,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Maxwell",NA,NA,"B","B0",0,1
17,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY02",2,0,"Maxwell",NA,NA,"B","B0",0,"Shepherd","Maxwell",NA,"E","E0",0,1
18,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY03",2,0,"Shepherd","Maxwell",NA,"E","E0",2,NA,"Maxwell",NA,"C","C2",0,1
19,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY04",3,2,NA,"Maxwell",NA,"C","C2",2,NA,"Schunk",NA,"C","C2",1,1
20,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY05",1,2,NA,"Schunk",NA,"C","C2",2,"Talley","Schunk",NA,"E","E2",0,0
21,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY06",3,2,"Talley","Schunk",NA,"E","E2",2,"Meadows","Talley","Schunk","H","H2",0,0
22,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA05AWAY07",1,2,"Meadows","Talley","Schunk","H","H2",3,"Meadows","Talley","Schunk","H","H3",0,0
23,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,4
24,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,3
25,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME03",1,1,NA,NA,NA,"A","A1",1,"Perez",NA,NA,"B","B1",0,3
26,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME04",2,1,"Perez",NA,NA,"B","B1",1,NA,NA,NA,"A","A1",2,3
27,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME05",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
28,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME06",1,2,NA,NA,NA,"A","A2",2,"Berryhill",NA,NA,"B","B2",0,1
29,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME07",2,2,"Berryhill",NA,NA,"B","B2",2,NA,"Olson",NA,"C","C2",1,1
30,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA06HOME08",1,2,NA,"Olson",NA,"C","C2",3,NA,"Olson",NA,"C","C3",0,0
31,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Rogers",NA,NA,"B","B0",0,4
32,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY02",2,0,"Rogers",NA,NA,"B","B0",0,"Jernigan","Rogers",NA,"E","E0",0,4
33,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY03",3,0,"Jernigan","Rogers",NA,"E","E0",0,"Maxwell","Jernigan",NA,"E","E0",1,4
34,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY04",3,0,"Maxwell","Jernigan",NA,"E","E0",0,"Shepherd","Maxwell","Jernigan","H","H0",0,3
35,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY05",4,0,"Shepherd","Maxwell","Jernigan","H","H0",0,"King",NA,"Shepherd","F","F0",2,3
36,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY06",2,0,"King",NA,"Shepherd","F","F0",1,"King",NA,NA,"B","B1",1,1
37,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA07AWAY07",2,1,"King",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
38,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA08HOME02",1,0,NA,NA,NA,"A","A0",0,"Allen",NA,NA,"B","B0",0,1
39,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA08HOME03",1,0,"Allen",NA,NA,"B","B0",0,NA,"Allen",NA,"C","C0",0,1
40,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA08HOME04",2,0,NA,"Allen",NA,"C","C0",1,NA,"Allen",NA,"C","C1",0,1
41,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA08HOME05",2,1,NA,"Allen",NA,"C","C1",1,"Callil",NA,NA,"B","B1",1,1
42,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA08HOME06",1,1,"Callil",NA,NA,"B","B1",2,"Callil",NA,NA,"B","B2",0,0
43,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA08HOME07",1,2,"Callil",NA,NA,"B","B2",3,"Callil",NA,NA,"B","B3",0,0
44,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY02",1,0,NA,NA,NA,"A","A0",0,"Meadows",NA,NA,"B","B0",0,2
45,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY03",2,0,"Meadows",NA,NA,"B","B0",1,NA,"Meadows",NA,"C","C1",0,2
46,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY04",2,1,NA,"Meadows",NA,"C","C1",1,NA,"Rogers",NA,"C","C1",1,2
47,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY05",1,1,NA,"Rogers",NA,"C","C1",1,"Jernigan","Rogers",NA,"E","E1",0,1
48,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY07",1,1,"Jernigan","Rogers",NA,"E","E1",1,"Jernigan",NA,"Rogers","F","F1",0,1
49,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY08",1,1,"Jernigan",NA,"Rogers","F","F1",1,NA,"Jernigan","Rogers","G","G1",0,1
50,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY09",3,1,NA,"Jernigan","Rogers","G","G1",2,NA,NA,"Jernigan","D","D2",1,1
51,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA09AWAY10",1,2,NA,NA,"Jernigan","D","D2",3,NA,NA,"Jernigan","D","D3",0,0
52,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
53,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA10HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
54,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA10HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
55,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",0,"King",NA,NA,"B","B0",0,1
56,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA11AWAY02",1,0,"King",NA,NA,"B","B0",1,"King",NA,NA,"B","B1",0,1
57,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA11AWAY03",2,1,"King",NA,NA,"B","B1",1,"Talley","King",NA,"E","E1",0,1
58,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA11AWAY04",3,1,"Talley","King",NA,"E","E1",1,"Meadows","Talley",NA,"E","E1",1,1
59,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA11AWAY06",1,1,"Meadows","Talley",NA,"E","E1",2,"Meadows","Talley",NA,"E","E2",0,0
60,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA11AWAY07",1,2,"Meadows","Talley",NA,"E","E2",3,"Meadows","Talley",NA,"E","E3",0,0
61,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",0,"Cullen",NA,NA,"B","B0",0,0
62,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA12HOME02",1,0,"Cullen",NA,NA,"B","B0",1,"Cullen",NA,NA,"B","B1",0,0
63,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA12HOME03",2,1,"Cullen",NA,NA,"B","B1",2,"Jenkins",NA,NA,"B","B2",0,0
64,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA12HOME04",1,2,"Jenkins",NA,NA,"B","B2",3,"Jenkins",NA,NA,"B","B3",0,0
65,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
66,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA13AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
67,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA13AWAY03",1,2,NA,NA,NA,"A","A2",2,"Shepherd",NA,NA,"B","B2",0,0
68,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA13AWAY04",2,2,"Shepherd",NA,NA,"B","B2",2,"King","Shepherd",NA,"E","E2",0,0
69,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA13AWAY06",1,2,"King","Shepherd",NA,"E","E2",3,"King","Shepherd",NA,"E","E3",0,0
70,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA14HOME01",1,0,NA,NA,NA,"A","A0",0,"Perez",NA,NA,"B","B0",0,0
71,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA14HOME02",1,0,"Perez",NA,NA,"B","B0",1,"Perez",NA,NA,"B","B1",0,0
72,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA14HOME03",2,1,"Perez",NA,NA,"B","B1",2,"Hopkins",NA,NA,"B","B2",0,0
73,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA14HOME04",1,2,"Hopkins",NA,NA,"B","B2",3,"Hopkins",NA,NA,"B","B3",0,0
74,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA15AWAY01",1,3,"Hopkins",NA,NA,"B","B3",4,"Hopkins",NA,NA,"B","B4",0,0
75,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA15AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
76,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA15AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
77,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA16HOME03",1,0,NA,NA,NA,"A","A0",0,"Olson",NA,NA,"B","B0",0,1
78,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA16HOME04",1,0,"Olson",NA,NA,"B","B0",0,NA,"Olson",NA,"C","C0",0,1
79,"GEOR_SCAR_0316201901","GEOR_SCAR_0316201901_PA16HOME05",2,0,NA,"Olson",NA,"C","C0",1,NA,NA,NA,"A","A1",1,1
