"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,"Johnson",NA,NA,"B","B0",0,0
2,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA01AWAY02",1,0,"Johnson",NA,NA,"B","B0",1,"Johnson",NA,NA,"B","B1",0,0
3,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA01AWAY03",2,1,"Johnson",NA,NA,"B","B1",2,"Curtis",NA,NA,"B","B2",0,0
4,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA01AWAY04",1,2,"Curtis",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
5,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Schultz",NA,NA,"B","B0",0,3
9,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY02",1,0,"Schultz",NA,NA,"B","B0",1,"Schultz",NA,NA,"B","B1",0,3
10,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY03",2,1,"Schultz",NA,NA,"B","B1",1,"Daniel","Schultz",NA,"E","E1",0,3
11,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY04",3,1,"Daniel","Schultz",NA,"E","E1",1,"Hill",NA,"Daniel","F","F1",1,3
12,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY05",3,1,"Hill",NA,"Daniel","F","F1",2,"Gei","Hill",NA,"E","E2",0,2
13,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY06",3,2,"Gei","Hill",NA,"E","E2",2,"Lewis","Gei","Hill","H","H2",0,2
14,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY07",3,2,"Lewis","Gei","Hill","H","H2",2,NA,"Lewis","Gei","G","G2",1,2
15,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY08",1,2,NA,"Lewis","Gei","G","G2",2,"Johnson","Lewis","Gei","H","H2",0,1
16,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY09",4,2,"Johnson","Lewis","Gei","H","H2",2,"Shinn","Johnson","Lewis","H","H2",1,1
17,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA03AWAY10",2,2,"Shinn","Johnson","Lewis","H","H2",3,"Curtis","Johnson","Lewis","H","H3",0,0
18,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Calilao",NA,NA,"B","B0",0,0
19,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA04HOME02",1,0,"Calilao",NA,NA,"B","B0",1,"Calilao",NA,NA,"B","B1",0,0
20,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA04HOME03",1,1,"Calilao",NA,NA,"B","B1",2,"Calilao",NA,NA,"B","B2",0,0
21,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA04HOME04",1,2,"Calilao",NA,NA,"B","B2",3,"Calilao",NA,NA,"B","B3",0,0
22,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
23,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
24,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
25,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Young",NA,NA,"B","B0",0,1
26,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA06HOME02",2,0,"Young",NA,NA,"B","B0",1,NA,"Young",NA,"C","C1",0,1
27,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA06HOME03",1,1,NA,"Young",NA,"C","C1",1,NA,NA,"Young","D","D1",0,1
28,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA06HOME04",1,1,NA,NA,"Young","D","D1",2,NA,NA,"Young","D","D2",0,1
29,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA06HOME05",2,2,NA,NA,"Young","D","D2",2,"Langworthy",NA,NA,"B","B2",1,1
30,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA06HOME06",1,2,"Langworthy",NA,NA,"B","B2",3,"Langworthy",NA,NA,"B","B3",0,0
31,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Hill",NA,NA,"B","B0",0,0
32,"KENT_FLOR_0427201901","KENT_FLOR_0427201901_PA07AWAY02",2,0,"Hill",NA,NA,"B","B0",1,NA,"Hill",NA,"C","C1",0,0
