Sequence,GameID,PlateAppID,NumComponents,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,FinalBaseOutState,TotalRPrime,R
1,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY01,1,0,NA,NA,NA,A,A0,0,Daniel,NA,NA,B,B0,0,1
2,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY02,1,0,Daniel,NA,NA,B,B0,0,NA,Daniel,NA,C,C0,0,1
3,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY03,2,0,NA,Daniel,NA,C,C0,0,Shinn,NA,Daniel,F,F0,0,1
4,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY04,3,0,Shinn,NA,Daniel,F,F0,0,Collett,Shinn,NA,E,E0,1,1
5,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY05,3,0,Collett,Shinn,NA,E,E0,1,NA,Collett,Shinn,G,G1,0,0
6,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY06,1,1,NA,Collett,Shinn,G,G1,2,NA,Collett,Shinn,G,G2,0,0
7,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY07,1,2,NA,Collett,Shinn,G,G2,2,Kessler,Collett,Shinn,H,H2,0,0
8,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY08,1,2,Kessler,Collett,Shinn,H,H2,3,Kessler,Collett,Shinn,H,H3,0,0
9,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME01,1,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0,0
10,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME02,1,0,Smith,NA,NA,B,B0,1,Smith,NA,NA,B,B1,0,0
11,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME03,1,1,Smith,NA,NA,B,B1,1,NA,Smith,NA,C,C1,0,0
12,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME04,2,1,NA,Smith,NA,C,C1,2,NA,NA,Smith,D,D2,0,0
13,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME05,1,2,NA,NA,Smith,D,D2,3,NA,NA,Smith,D,D3,0,0
14,KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA03AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
