GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY01,bat,B. Daniel walked (3-1 BBSBB).,0,NA,NA,NA,A,A0,0,Daniel,NA,NA,B,B0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY02,br,B. Daniel stole second.,0,Daniel,NA,NA,B,B0,0,NA,Daniel,NA,C,C0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY03,bat,R. Shinn singled to left field (1-2 SBS);,0,NA,Daniel,NA,C,C0,0,Shinn,Daniel,NA,E,E0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY03,br,B. Daniel advanced to third.,0,NA,Daniel,NA,C,C0,0,Shinn,NA,Daniel,F,F0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY04,bat,T. Collett singled up the middle  RBI (1-0 B);,0,Shinn,NA,Daniel,F,F0,0,Collett,NA,Daniel,F,F0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY04,br,R. Shinn advanced to second;,0,Shinn,NA,Daniel,F,F0,0,Collett,Shinn,Daniel,H,H0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY04,br,B. Daniel scored.,0,Shinn,NA,Daniel,F,F0,0,Collett,Shinn,NA,E,E0,1
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY05,bat,J. Shelby grounded out to p  SAC (2-1 BSB);,0,Collett,Shinn,NA,E,E0,1,Collett,Shinn,NA,E,E1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY05,br,T. Collett advanced to second;,0,Collett,Shinn,NA,E,E0,1,NA,Collett,NA,C,C1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY05,br,R. Shinn advanced to third.,0,Collett,Shinn,NA,E,E0,1,NA,Collett,Shinn,G,G1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY06,bat,D. Reed struck out swinging (0-2 FSFS).,1,NA,Collett,Shinn,G,G1,2,NA,Collett,Shinn,G,G2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY07,bat,C. Kessler intentionally walked (2-0 BB).,2,NA,Collett,Shinn,G,G2,2,Kessler,Collett,Shinn,H,H2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA01AWAY08,bat,M. Gei flied out to cf (0-0).,2,Kessler,Collett,Shinn,H,H2,3,Kessler,Collett,Shinn,H,H3,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME01,bat,Smith singled to shortstop (0-1 S).,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME02,bat,Watson struck out swinging (0-2 FSFS).,0,Smith,NA,NA,B,B0,1,Smith,NA,NA,B,B1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME03,br,Smith stole second.,1,Smith,NA,NA,B,B1,1,NA,Smith,NA,C,C1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME04,bat,Duplantis grounded out to 2b (2-2 FBBF);,1,NA,Smith,NA,C,C1,2,NA,Smith,NA,C,C2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME04,br,Smith advanced to third.,1,NA,Smith,NA,C,C1,2,NA,NA,Smith,D,D2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA02HOME05,bat,Reid struck out swinging (0-2 SSS).,2,NA,NA,Smith,D,D2,3,NA,NA,Smith,D,D3,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA03AWAY01,bat,Z. Lewis flied out to cf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA03AWAY02,bat,A. Rodriguez popped up to ss (0-1 S).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA03AWAY03,bat,B. Daniel flied out to lf (0-2 SS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA04HOME01,bat,Cabrera singled to left field (1-1 BS).,0,NA,NA,NA,A,A0,0,Cabrera,NA,NA,B,B0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA04HOME02,bat,Bianco struck out swinging (1-2 FSBS).,0,Cabrera,NA,NA,B,B0,1,Cabrera,NA,NA,B,B1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA04HOME03,br,Cabrera advanced to second on a wild pitch.,1,Cabrera,NA,NA,B,B1,1,NA,Cabrera,NA,C,C1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA04HOME04,bat,Beloso walked (3-2 BBBSSB).,1,NA,Cabrera,NA,C,C1,1,Beloso,Cabrera,NA,E,E1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA04HOME05,bat,Mathis struck out swinging (0-2 SSS).,1,Beloso,Cabrera,NA,E,E1,2,Beloso,Cabrera,NA,E,E2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA04HOME06,bat,Hughes struck out swinging (2-2 BBFSS).,2,Beloso,Cabrera,NA,E,E2,3,Beloso,Cabrera,NA,E,E3,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA05AWAY01,bat,R. Shinn hit by pitch (1-1 BF).,0,NA,NA,NA,A,A0,0,Shinn,NA,NA,B,B0,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA05AWAY02,bat,T. Collett struck out looking (1-2 FBFFK).,0,Shinn,NA,NA,B,B0,1,Shinn,NA,NA,B,B1,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA05AWAY03,br,R. Shinn out at second c to ss caught stealing.,1,Shinn,NA,NA,B,B1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0316201901,KENT_LSTU_0316201901_PA05AWAY04,bat,J. Shelby walked (3-1 BBSBB).,2,NA,NA,NA,A,A2,2,Shelby,NA,NA,B,B2,0
