"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Collett",NA,NA,"B","B2",0,0
4,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA01AWAY04",2,2,"Collett",NA,NA,"B","B2",3,"Shelby",NA,NA,"B","B3",0,0
5,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
10,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Schultz",NA,NA,"B","B2",0,0
11,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA03AWAY04",1,2,"Schultz",NA,NA,"B","B2",3,"Schultz",NA,NA,"B","B3",0,0
12,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
13,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
14,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",2,"Garza",NA,NA,"B","B2",0,0
15,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA04HOME04",2,2,"Garza",NA,NA,"B","B2",3,"Garza",NA,NA,"B","B3",0,0
16,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
17,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
18,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
19,"KENT_LSTU_0317201901","KENT_LSTU_0317201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
