"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Shinn",NA,NA,"B","B1",0,0
3,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA01AWAY03",2,1,"Shinn",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
4,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
5,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,2
6,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Misner",NA,NA,"B","B2",0,2
7,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME04",1,2,"Misner",NA,NA,"B","B2",2,NA,"Misner",NA,"C","C2",0,2
8,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME05",2,2,NA,"Misner",NA,"C","C2",2,"Zimmermann",NA,NA,"B","B2",1,2
9,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME06",1,2,"Zimmermann",NA,NA,"B","B2",2,NA,"Zimmermann",NA,"C","C2",0,1
10,"KENT_MIZZ_0405201901","KENT_MIZZ_0405201901_PA02HOME07",2,2,NA,"Zimmermann",NA,"C","C2",2,"Mcdaniel",NA,NA,"B","B2",1,1
