"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
7,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA04HOME03",1,2,NA,NA,NA,"A","A2",2,NA,"Zabowski",NA,"C","C2",0,0
13,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA04HOME04",1,2,NA,"Zabowski",NA,"C","C2",2,"Loposer","Zabowski",NA,"E","E2",0,0
14,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA04HOME05",1,2,"Loposer","Zabowski",NA,"E","E2",3,"Loposer","Zabowski",NA,"E","E3",0,0
15,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
19,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
20,"KENT_OMSS_0414201902","KENT_OMSS_0414201902_PA06HOME03",1,2,NA,NA,NA,"A","A2",2,"Kessinger",NA,NA,"B","B2",0,0
