"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA01AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
2,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA01AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
3,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA01AWAY04",1,2,NA,NA,NA,"A","A2",2,NA,"Curtis",NA,"C","C2",0,1
4,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA01AWAY05",2,2,NA,"Curtis",NA,"C","C2",2,NA,"Kessler",NA,"C","C2",1,1
5,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA01AWAY07",1,2,NA,"Kessler",NA,"C","C2",3,NA,"Kessler",NA,"C","C3",0,0
6,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
9,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Shinn",NA,NA,"B","B0",0,0
10,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA03AWAY02",2,0,"Shinn",NA,NA,"B","B0",1,NA,"Shinn",NA,"C","C1",0,0
11,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA03AWAY03",1,1,NA,"Shinn",NA,"C","C1",2,NA,"Shinn",NA,"C","C2",0,0
12,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA03AWAY04",1,2,NA,"Shinn",NA,"C","C2",3,NA,"Shinn",NA,"C","C3",0,0
13,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
14,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
15,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
16,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Johnson",NA,NA,"B","B0",0,0
17,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA05AWAY02",2,0,"Johnson",NA,NA,"B","B0",0,NA,"Hill","Johnson","G","G0",0,0
18,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA05AWAY03",1,0,NA,"Hill","Johnson","G","G0",1,NA,"Hill","Johnson","G","G1",0,0
19,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA05AWAY04",1,1,NA,"Hill","Johnson","G","G1",1,"Kessler","Hill","Johnson","H","H1",0,0
20,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA05AWAY05",1,1,"Kessler","Hill","Johnson","H","H1",2,"Kessler","Hill","Johnson","H","H2",0,0
21,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA05AWAY06",1,2,"Kessler","Hill","Johnson","H","H2",3,"Kessler","Hill","Johnson","H","H3",0,0
22,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Cullen",NA,NA,"B","B0",0,1
23,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA06HOME02",2,0,"Cullen",NA,NA,"B","B0",1,NA,"Cullen",NA,"C","C1",0,1
24,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA06HOME03",2,1,NA,"Cullen",NA,"C","C1",1,"Neville",NA,"Cullen","F","F1",0,1
25,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA06HOME04",3,1,"Neville",NA,"Cullen","F","F1",2,NA,"Neville",NA,"C","C2",1,1
26,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA06HOME06",1,2,NA,"Neville",NA,"C","C2",3,NA,"Neville",NA,"C","C3",0,0
27,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Schultz",NA,NA,"B","B0",0,2
28,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY03",2,0,"Schultz",NA,NA,"B","B0",0,"Reed","Schultz",NA,"E","E0",0,2
29,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY04",2,0,"Reed","Schultz",NA,"E","E0",0,NA,"Reed","Schultz","G","G0",0,2
30,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY05",2,0,NA,"Reed","Schultz","G","G0",1,NA,"Reed",NA,"C","C1",1,2
31,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY06",2,1,NA,"Reed",NA,"C","C1",1,"Johnson",NA,"Reed","F","F1",0,1
32,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY07",3,1,"Johnson",NA,"Reed","F","F1",2,NA,"Johnson",NA,"C","C2",1,1
33,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA07AWAY08",1,2,NA,"Johnson",NA,"C","C2",3,NA,"Johnson",NA,"C","C3",0,0
34,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Berryhill",NA,NA,"B","B0",0,0
35,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA08HOME02",2,0,"Berryhill",NA,NA,"B","B0",1,NA,"Berryhill",NA,"C","C1",0,0
36,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA08HOME03",1,1,NA,"Berryhill",NA,"C","C1",2,NA,"Berryhill",NA,"C","C2",0,0
37,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA08HOME04",1,2,NA,"Berryhill",NA,"C","C2",3,NA,"Berryhill",NA,"C","C3",0,0
38,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,"Kessler",NA,NA,"B","B0",0,1
39,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA09AWAY02",2,0,"Kessler",NA,NA,"B","B0",0,"Collett","Kessler",NA,"E","E0",0,1
40,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA09AWAY03",3,0,"Collett","Kessler",NA,"E","E0",0,NA,"Shinn","Collett","G","G0",1,1
41,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA09AWAY04",1,0,NA,"Shinn","Collett","G","G0",0,"Schultz","Shinn","Collett","H","H0",0,0
42,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA09AWAY05",1,0,"Schultz","Shinn","Collett","H","H0",1,"Schultz","Shinn","Collett","H","H1",0,0
43,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA09AWAY06",2,1,"Schultz","Shinn","Collett","H","H1",3,NA,"Shinn","Collett","G","G3",0,0
44,"KENT_SCAR_0512201901","KENT_SCAR_0512201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
