"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
2,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Duplantis",NA,NA,"B","B1",0,1
3,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA01AWAY03",1,1,"Duplantis",NA,NA,"B","B1",2,"Duplantis",NA,NA,"B","B2",0,1
4,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA01AWAY04",1,2,"Duplantis",NA,NA,"B","B2",2,NA,"Duplantis",NA,"C","C2",0,1
5,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA01AWAY05",2,2,NA,"Duplantis",NA,"C","C2",2,NA,"Smith",NA,"C","C2",1,1
6,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA01AWAY06",1,2,NA,"Smith",NA,"C","C2",3,NA,"Smith",NA,"C","C3",0,0
7,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Auerbach",NA,NA,"B","B0",0,1
8,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME02",2,0,"Auerbach",NA,NA,"B","B0",0,"Reeves","Auerbach",NA,"E","E0",0,1
9,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME03",3,0,"Reeves","Auerbach",NA,"E","E0",0,"Mccullough","Reeves","Auerbach","H","H0",0,1
10,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME04",1,0,"Mccullough","Reeves","Auerbach","H","H0",1,"Mccullough","Reeves","Auerbach","H","H1",0,1
11,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME05",1,1,"Mccullough","Reeves","Auerbach","H","H1",2,"Mccullough","Reeves","Auerbach","H","H2",0,1
12,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME06",4,2,"Mccullough","Reeves","Auerbach","H","H2",2,"Williamson","Mccullough","Reeves","H","H2",1,1
13,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA02HOME07",1,2,"Williamson","Mccullough","Reeves","H","H2",3,"Williamson","Mccullough","Reeves","H","H3",0,0
14,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
16,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
17,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Breaux",NA,NA,"B","B0",0,0
18,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA04HOME02",1,0,"Breaux",NA,NA,"B","B0",1,"Breaux",NA,NA,"B","B1",0,0
19,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA04HOME03",2,1,"Breaux",NA,NA,"B","B1",1,"Auerbach","Breaux",NA,"E","E1",0,0
20,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA04HOME04",2,1,"Auerbach","Breaux",NA,"E","E1",3,NA,"Breaux",NA,"C","C3",0,0
21,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,3
22,"LSTU_ABAM_0428201901","LSTU_ABAM_0428201901_PA05AWAY02",1,0,NA,NA,NA,"A","A0",0,"Watson",NA,NA,"B","B0",0,2
