"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,3
2,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Watson",NA,NA,"B","B1",0,3
3,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY03",3,1,"Watson",NA,NA,"B","B1",1,NA,"Duplantis","Watson","G","G1",0,3
4,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY04",3,1,NA,"Duplantis","Watson","G","G1",1,NA,"Reid",NA,"C","C1",2,3
5,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY05",2,1,NA,"Reid",NA,"C","C1",2,NA,NA,"Reid","D","D2",0,1
6,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY06",2,2,NA,NA,"Reid","D","D2",2,"Broussard",NA,NA,"B","B2",1,1
7,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA01AWAY07",1,2,"Broussard",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
8,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Holt",NA,NA,"B","B0",0,5
9,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME02",2,0,"Holt",NA,NA,"B","B0",0,"Cornelius","Holt",NA,"E","E0",0,5
10,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME04",3,0,"Cornelius","Holt",NA,"E","E0",0,"Misner","Cornelius","Holt","H","H0",0,5
11,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME05",4,0,"Misner","Cornelius","Holt","H","H0",0,"Zimmermann","Misner",NA,"E","E0",2,5
12,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME06",2,0,"Zimmermann","Misner",NA,"E","E0",0,NA,"Zimmermann","Misner","G","G0",0,3
13,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME07",1,0,NA,"Zimmermann","Misner","G","G0",0,"Mcdaniel","Zimmermann","Misner","H","H0",0,3
14,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME08",3,0,"Mcdaniel","Zimmermann","Misner","H","H0",0,NA,"Mcdaniel","Zimmermann","G","G0",1,3
15,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME09",3,0,NA,"Mcdaniel","Zimmermann","G","G0",0,"Broyles",NA,NA,"B","B0",2,2
16,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME10",1,0,"Broyles",NA,NA,"B","B0",0,NA,"Broyles",NA,"C","C0",0,0
17,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME11",1,0,NA,"Broyles",NA,"C","C0",0,NA,NA,"Broyles","D","D0",0,0
18,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME12",1,0,NA,NA,"Broyles","D","D0",0,"James",NA,"Broyles","F","F0",0,0
19,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME13",2,0,"James",NA,"Broyles","F","F0",1,NA,"James","Broyles","G","G1",0,0
20,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME14",1,1,NA,"James","Broyles","G","G1",1,"Gomez","James","Broyles","H","H1",0,0
21,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME15",1,1,"Gomez","James","Broyles","H","H1",2,"Gomez","James","Broyles","H","H2",0,0
22,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME16",2,2,"Gomez","James","Broyles","H","H2",2,NA,"Gomez","James","G","G2",0,0
23,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA02HOME17",1,2,NA,"Gomez","James","G","G2",3,NA,"Gomez","James","G","G3",0,0
24,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA03AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
25,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA03AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
26,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA03AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
27,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
28,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
29,"LSTU_MIZZ_0412201901","LSTU_MIZZ_0412201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
