GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA01AWAY03,away,Holt,1,out,1,0,-1,0,1,1,c,ss,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA02HOME02,home,Kjerstad,2,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA02HOME04,home,Ezell,3,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA02HOME06,home,Opitz,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA02HOME06,home,Fletcher,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA02HOME06,home,Ezell,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA03AWAY03,away,Ortiz,6,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA05AWAY02,away,Vierling,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA05AWAY04,away,Peterson,9,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA06HOME03,home,Kjerstad,2,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA08HOME02,home,Goodheart,6,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA08HOME03,home,Goodheart,6,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA14HOME03,home,Nesbit,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA15AWAY05,away,Peterson,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA16HOME01,home,Ezell,3,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA16HOME03,home,Fletcher,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MIZZ_ARKS_0315201901,MIZZ_ARKS_0315201901_PA16HOME04,home,Fletcher,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
