"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,"Peterson",NA,NA,"B","B0",0,0
2,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA01AWAY02",2,0,"Peterson",NA,NA,"B","B0",0,"Cornelius","Peterson",NA,"E","E0",0,0
3,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA01AWAY03",3,0,"Cornelius","Peterson",NA,"E","E0",0,"Misner","Cornelius","Peterson","H","H0",0,0
4,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA01AWAY04",3,0,"Misner","Cornelius","Peterson","H","H0",2,NA,"Cornelius",NA,"C","C2",0,0
5,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Maxwell",NA,NA,"B","B0",0,4
6,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME02",2,0,"Maxwell",NA,NA,"B","B0",0,"King","Maxwell",NA,"E","E0",0,4
7,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME03",3,0,"King","Maxwell",NA,"E","E0",0,NA,"Schunk","King","G","G0",1,4
8,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME04",3,0,NA,"Schunk","King","G","G0",0,NA,"Talley",NA,"C","C0",2,3
9,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME06",1,0,NA,"Talley",NA,"C","C0",1,NA,"Talley",NA,"C","C1",0,1
10,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME07",1,1,NA,"Talley",NA,"C","C1",1,"Biggar","Talley",NA,"E","E1",0,1
11,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME08",3,1,"Biggar","Talley",NA,"E","E1",1,"Sullivan",NA,"Biggar","F","F1",1,1
12,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME09",1,1,"Sullivan",NA,"Biggar","F","F1",2,NA,NA,"Biggar","D","D2",0,0
13,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA02HOME10",1,2,NA,NA,"Biggar","D","D2",3,NA,NA,"Biggar","D","D3",0,0
14,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Mcdaniel",NA,NA,"B","B0",0,2
15,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA03AWAY02",2,0,"Mcdaniel",NA,NA,"B","B0",1,"Vierling",NA,NA,"B","B1",0,2
16,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA03AWAY03",1,1,"Vierling",NA,NA,"B","B1",2,"Vierling",NA,NA,"B","B2",0,2
17,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA03AWAY05",2,2,"Vierling",NA,NA,"B","B2",2,"Peterson","Vierling",NA,"E","E2",0,2
18,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA03AWAY06",3,2,"Peterson","Vierling",NA,"E","E2",2,NA,"Gomez",NA,"C","C2",2,2
19,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA03AWAY07",1,2,NA,"Gomez",NA,"C","C2",3,NA,"Gomez",NA,"C","C3",0,0
20,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
21,"MIZZ_GEOR_0419201901","MIZZ_GEOR_0419201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,NA,NA,NA,"A","A1",1,1
