"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
2,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Cornelius",NA,NA,"B","B1",0,1
3,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA01AWAY03",1,1,"Cornelius",NA,NA,"B","B1",2,"Cornelius",NA,NA,"B","B2",0,1
4,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA01AWAY04",2,2,"Cornelius",NA,NA,"B","B2",2,"Zimmermann","Cornelius",NA,"E","E2",0,1
5,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA01AWAY05",3,2,"Zimmermann","Cornelius",NA,"E","E2",2,"Mcdaniel","Zimmermann",NA,"E","E2",1,1
6,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA01AWAY06",1,2,"Mcdaniel","Zimmermann",NA,"E","E2",3,"Mcdaniel","Zimmermann",NA,"E","E3",0,0
7,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,"Ammons","D","D0",0,1
8,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA02HOME02",1,0,NA,NA,"Ammons","D","D0",1,NA,NA,"Ammons","D","D1",0,1
9,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA02HOME03",1,1,NA,NA,"Ammons","D","D1",2,NA,NA,"Ammons","D","D2",0,1
10,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA02HOME04",2,2,NA,NA,"Ammons","D","D2",2,"Soularie",NA,NA,"B","B2",1,1
11,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA02HOME05",1,2,"Soularie",NA,NA,"B","B2",3,"Soularie",NA,NA,"B","B3",0,0
12,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
13,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Brumfield",NA,NA,"B","B1",0,1
14,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA03AWAY03",2,1,"Brumfield",NA,NA,"B","B1",1,NA,"Gomez",NA,"C","C1",1,1
15,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA03AWAY04",1,1,NA,"Gomez",NA,"C","C1",1,NA,NA,"Gomez","D","D1",0,0
16,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA03AWAY05",2,1,NA,NA,"Gomez","D","D1",2,NA,NA,"Gomez","D","D2",0,0
17,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA03AWAY06",1,2,NA,NA,"Gomez","D","D2",3,NA,NA,"Gomez","D","D3",0,0
18,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Derkay",NA,NA,"B","B0",0,0
19,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA04HOME02",1,0,"Derkay",NA,NA,"B","B0",1,"Derkay",NA,NA,"B","B1",0,0
20,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA04HOME03",1,1,"Derkay",NA,NA,"B","B1",2,"Derkay",NA,NA,"B","B2",0,0
21,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA04HOME04",1,2,"Derkay",NA,NA,"B","B2",3,"Derkay",NA,NA,"B","B3",0,0
22,"MIZZ_TENN_0503201901","MIZZ_TENN_0503201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
