"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Misner",NA,NA,"B","B1",0,0
3,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA01AWAY03",2,1,"Misner",NA,NA,"B","B1",1,"Zimmermann","Misner",NA,"E","E1",0,0
4,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA01AWAY04",1,1,"Zimmermann","Misner",NA,"E","E1",2,"Zimmermann","Misner",NA,"E","E2",0,0
5,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA01AWAY05",2,2,"Zimmermann","Misner",NA,"E","E2",3,"Vierling","Misner",NA,"E","E3",0,0
6,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Hoehner",NA,NA,"B","B1",0,0
8,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA02HOME03",2,1,"Hoehner",NA,NA,"B","B1",1,"Shewmake","Hoehner",NA,"E","E1",0,0
9,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA02HOME04",1,1,"Shewmake","Hoehner",NA,"E","E1",2,"Shewmake","Hoehner",NA,"E","E2",0,0
10,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA02HOME05",2,2,"Shewmake","Hoehner",NA,"E","E2",3,"Coleman","Hoehner",NA,"E","E3",0,0
11,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
12,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
13,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Gomez",NA,NA,"B","B2",0,0
14,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA03AWAY04",1,2,"Gomez",NA,NA,"B","B2",3,"Gomez",NA,NA,"B","B3",0,0
15,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Holt",NA,NA,"B","B0",0,0
19,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA05AWAY02",1,0,"Holt",NA,NA,"B","B0",1,"Holt",NA,NA,"B","B1",0,0
20,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA05AWAY03",1,1,"Holt",NA,NA,"B","B1",2,NA,NA,NA,"A","A2",0,0
21,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA05AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
22,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Deloach",NA,NA,"B","B0",0,0
23,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA06HOME02",2,0,"Deloach",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
24,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
25,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
26,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
27,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
28,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Shewmake",NA,NA,"B","B0",0,0
29,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA08HOME02",1,0,"Shewmake",NA,NA,"B","B0",1,"Shewmake",NA,NA,"B","B1",0,0
30,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA08HOME03",2,1,"Shewmake",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
31,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
32,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
33,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA09AWAY03",1,2,NA,NA,NA,"A","A2",2,"Peterson",NA,NA,"B","B2",0,0
34,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA09AWAY05",2,2,"Peterson",NA,NA,"B","B2",2,"Holt","Peterson",NA,"E","E2",0,0
35,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA09AWAY06",1,2,"Holt","Peterson",NA,"E","E2",3,"Holt","Peterson",NA,"E","E3",0,0
36,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Foster",NA,NA,"B","B0",0,1
37,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA10HOME02",2,0,"Foster",NA,NA,"B","B0",0,"Walters","Foster",NA,"E","E0",0,1
38,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA10HOME03",3,0,"Walters","Foster",NA,"E","E0",1,NA,"Walters","Foster","G","G1",0,1
39,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA10HOME04",1,1,NA,"Walters","Foster","G","G1",1,"Deloach","Walters","Foster","H","H1",0,1
40,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA10HOME05",4,1,"Deloach","Walters","Foster","H","H1",1,"Blaum","Deloach","Walters","H","H1",1,1
41,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA10HOME06",2,1,"Blaum","Deloach","Walters","H","H1",3,"Blaum","Deloach",NA,"E","E3",0,0
42,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
43,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
44,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA11AWAY03",1,2,NA,NA,NA,"A","A2",2,"Vierling",NA,NA,"B","B2",0,0
45,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA11AWAY04",1,2,"Vierling",NA,NA,"B","B2",3,"Vierling",NA,NA,"B","B3",0,0
46,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
47,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME02",1,1,NA,NA,NA,"A","A1",1,"Ducoff",NA,NA,"B","B1",0,1
48,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME03",1,1,"Ducoff",NA,NA,"B","B1",1,NA,"Ducoff",NA,"C","C1",0,1
49,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME04",1,1,NA,"Ducoff",NA,"C","C1",1,"Coleman","Ducoff",NA,"E","E1",0,1
50,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME05",4,1,"Coleman","Ducoff",NA,"E","E1",2,NA,"Foster",NA,"C","C2",1,1
