"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
7,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Zimmermann",NA,NA,"B","B0",0,0
8,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA03AWAY02",2,0,"Zimmermann",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
9,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",2,NA,"Scott",NA,"C","C2",0,0
13,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA04HOME04",1,2,NA,"Scott",NA,"C","C2",2,NA,NA,"Scott","D","D2",0,0
14,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA04HOME05",1,2,NA,NA,"Scott","D","D2",3,NA,NA,"Scott","D","D3",0,0
15,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",1,"Vierling",NA,NA,"B","B1",0,0
17,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA05AWAY03",1,1,"Vierling",NA,NA,"B","B1",2,"Vierling",NA,NA,"B","B2",0,0
18,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA05AWAY04",1,2,"Vierling",NA,NA,"B","B2",3,"Vierling",NA,NA,"B","B3",0,0
19,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA06HOME02",1,0,NA,NA,NA,"A","A0",0,NA,"Duvall",NA,"C","C0",0,0
20,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA06HOME03",1,0,NA,"Duvall",NA,"C","C0",0,"Infante","Duvall",NA,"E","E0",0,0
21,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA06HOME05",3,0,"Infante","Duvall",NA,"E","E0",1,"Martin","Infante",NA,"E","E1",0,0
22,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA06HOME06",2,1,"Martin","Infante",NA,"E","E1",3,NA,"Infante",NA,"C","C3",0,0
23,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
24,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
25,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
26,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Paul",NA,NA,"B","B0",0,2
27,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME02",1,0,"Paul",NA,NA,"B","B0",1,"Paul",NA,NA,"B","B1",0,2
28,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME03",2,1,"Paul",NA,NA,"B","B1",1,"Demarco","Paul",NA,"E","E1",0,2
29,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME04",3,1,"Demarco","Paul",NA,"E","E1",1,"Scott",NA,"Demarco","F","F1",1,2
30,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME06",3,1,"Scott",NA,"Demarco","F","F1",1,"Ray","Scott",NA,"E","E1",1,1
31,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME08",1,1,"Ray","Scott",NA,"E","E1",2,"Ray","Scott",NA,"E","E2",0,0
32,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA08HOME09",1,2,"Ray","Scott",NA,"E","E2",3,"Ray","Scott",NA,"E","E3",0,0
33,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
34,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",1,"Gomez",NA,NA,"B","B1",0,2
35,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY03",2,1,"Gomez",NA,NA,"B","B1",1,"Ortiz","Gomez",NA,"E","E1",0,2
36,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY04",2,1,"Ortiz","Gomez",NA,"E","E1",1,NA,"Ortiz","Gomez","G","G1",0,2
37,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY05",3,1,NA,"Ortiz","Gomez","G","G1",2,NA,NA,"Ortiz","D","D2",1,2
38,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY06",1,2,NA,NA,"Ortiz","D","D2",2,NA,NA,NA,"A","A2",1,1
39,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA09AWAY07",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
40,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Martin",NA,NA,"B","B0",0,0
41,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA10HOME02",1,0,"Martin",NA,NA,"B","B0",1,"Martin",NA,NA,"B","B1",0,0
42,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA10HOME03",1,1,"Martin",NA,NA,"B","B1",1,NA,"Martin",NA,"C","C1",0,0
43,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA10HOME04",1,1,NA,"Martin",NA,"C","C1",1,"Paul","Martin",NA,"E","E1",0,0
44,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA10HOME05",1,1,"Paul","Martin",NA,"E","E1",2,"Paul","Martin",NA,"E","E2",0,0
45,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA10HOME06",1,2,"Paul","Martin",NA,"E","E2",3,"Paul","Martin",NA,"E","E3",0,0
46,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
47,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",1,"Cornelius",NA,NA,"B","B1",0,1
48,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY03",3,1,"Cornelius",NA,NA,"B","B1",1,NA,"Misner","Cornelius","G","G1",0,1
49,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY04",3,1,NA,"Misner","Cornelius","G","G1",1,"Zimmermann",NA,"Misner","F","F1",1,1
50,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY05",2,1,"Zimmermann",NA,"Misner","F","F1",3,"Zimmermann",NA,NA,"B","B3",0,0
51,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA12HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
52,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA12HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
53,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA12HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
54,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY02",1,0,NA,NA,NA,"A","A0",0,"Gomez",NA,NA,"B","B0",0,1
55,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY03",2,0,"Gomez",NA,NA,"B","B0",0,"Ortiz",NA,"Gomez","F","F0",0,1
56,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY04",2,0,"Ortiz",NA,"Gomez","F","F0",0,NA,"Ortiz",NA,"C","C0",1,1
57,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY05",1,0,NA,"Ortiz",NA,"C","C0",0,"Vierling","Ortiz",NA,"E","E0",0,0
58,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY06",3,0,"Vierling","Ortiz",NA,"E","E0",0,"Brumfield","Vierling","Ortiz","H","H0",0,0
59,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY07",4,0,"Brumfield","Vierling","Ortiz","H","H0",1,"Broyles","Brumfield","Vierling","H","H1",0,0
60,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY09",1,1,"Broyles","Brumfield","Vierling","H","H1",2,"Broyles","Brumfield","Vierling","H","H2",0,0
61,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA13AWAY10",1,2,"Broyles","Brumfield","Vierling","H","H2",3,"Broyles","Brumfield","Vierling","H","H3",0,0
62,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA14HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
63,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA14HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
64,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA14HOME04",1,2,NA,NA,NA,"A","A2",2,"Bleday",NA,NA,"B","B2",0,0
65,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA14HOME05",1,2,"Bleday",NA,NA,"B","B2",3,"Bleday",NA,NA,"B","B3",0,0
66,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA15AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
67,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA15AWAY02",1,0,NA,NA,NA,"A","A0",0,"Mcdaniel",NA,NA,"B","B0",0,0
68,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA15AWAY03",2,0,"Mcdaniel",NA,NA,"B","B0",1,NA,"Mcdaniel",NA,"C","C1",0,0
69,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA15AWAY04",2,1,NA,"Mcdaniel",NA,"C","C1",2,NA,NA,"Mcdaniel","D","D2",0,0
70,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA15AWAY05",1,2,NA,NA,"Mcdaniel","D","D2",3,NA,NA,"Mcdaniel","D","D3",0,0
71,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA16HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
72,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA16HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
73,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA16HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
74,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA17AWAY01",1,0,NA,NA,NA,"A","A0",0,"Brumfield",NA,NA,"B","B0",0,0
75,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA17AWAY02",1,0,"Brumfield",NA,NA,"B","B0",1,"Brumfield",NA,NA,"B","B1",0,0
76,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA17AWAY03",2,1,"Brumfield",NA,NA,"B","B1",2,NA,"Brumfield",NA,"C","C2",0,0
77,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA17AWAY04",1,2,NA,"Brumfield",NA,"C","C2",3,NA,NA,NA,"A","A3",0,0
78,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA18HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
79,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA18HOME03",1,1,NA,NA,NA,"A","A1",1,"Duvall",NA,NA,"B","B1",0,0
80,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA18HOME04",2,1,"Duvall",NA,NA,"B","B1",2,NA,"Duvall",NA,"C","C2",0,0
81,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA18HOME06",1,2,NA,"Duvall",NA,"C","C2",3,NA,"Duvall",NA,"C","C3",0,0
