GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA03AWAY03,away,Jordan,8,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME02,home,Fabian,6,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME04,home,Langworthy,7,out,1,0,-1,0,0,1,ss,2b,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA06HOME03,home,Mcconnell,2,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA08HOME03,home,Dalton,5,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA09AWAY04,away,Halter,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA10HOME03,home,Acton,9,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA11AWAY05,away,Foscue,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA11AWAY06,away,Hatcher,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA11AWAY06,away,Skelton,6,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA11AWAY06,away,Foscue,5,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA11AWAY08,away,Hatcher,7,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA11AWAY08,away,Skelton,6,out,3,0,-3,0,0,1,p,c.,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA12HOME04,home,Dalton,5,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA13AWAY03,away,Mangum,1,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA13AWAY04,away,Westburg,2,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA13AWAY06,away,Westburg,2,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA13AWAY07,away,Foscue,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA13AWAY08,away,Skelton,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA13AWAY08,away,Foscue,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME02,home,Acton,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME03,home,Young,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME03,home,Acton,9,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME04,home,Young,1,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME04,home,Acton,9,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME06,home,Mcconnell,2,stole,2,3,1,1,1,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME07,home,Mcconnell,2,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME09,home,Dalton,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA14HOME09,home,Calilao,4,out,1,0,-1,0,0,1,ss,2b,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA17AWAY02,away,Allen,3,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA17AWAY03,away,Foscue,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA17AWAY03,away,Macnamee,4,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA17AWAY03,away,Allen,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA17AWAY04,away,Foscue,5,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
