"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Westburg",NA,NA,"B","B1",0,0
3,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA01AWAY03",1,1,"Westburg",NA,NA,"B","B1",2,"Westburg",NA,NA,"B","B2",0,0
4,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA01AWAY04",1,2,"Westburg",NA,NA,"B","B2",3,"Westburg",NA,NA,"B","B3",0,0
5,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
10,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
11,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Keenan",NA,NA,"B","B0",0,0
12,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA04HOME02",2,0,"Keenan",NA,NA,"B","B0",1,NA,"Keenan",NA,"C","C1",0,0
13,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA04HOME03",2,1,NA,"Keenan",NA,"C","C1",2,NA,NA,"Keenan","D","D2",0,0
14,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA04HOME04",1,2,NA,NA,"Keenan","D","D2",2,"Johnson",NA,"Keenan","F","F2",0,0
15,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA04HOME05",1,2,"Johnson",NA,"Keenan","F","F2",3,"Johnson",NA,"Keenan","F","F3",0,0
16,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
17,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
18,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,"Mangum",NA,NA,"B","B2",0,0
19,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA05AWAY04",1,2,"Mangum",NA,NA,"B","B2",2,NA,"Mangum",NA,"C","C2",0,0
20,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA05AWAY05",1,2,NA,"Mangum",NA,"C","C2",3,NA,"Mangum",NA,"C","C3",0,0
21,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
22,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",1,"Servideo",NA,NA,"B","B1",0,1
23,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME03",1,1,"Servideo",NA,NA,"B","B1",1,NA,"Servideo",NA,"C","C1",0,1
24,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME04",1,1,NA,"Servideo",NA,"C","C1",2,NA,"Servideo",NA,"C","C2",0,1
25,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME05",2,2,NA,"Servideo",NA,"C","C2",2,NA,"Kessinger",NA,"C","C2",1,1
26,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME06",1,2,NA,"Kessinger",NA,"C","C2",2,NA,NA,"Kessinger","D","D2",0,0
27,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA06HOME07",1,2,NA,NA,"Kessinger","D","D2",3,NA,NA,"Kessinger","D","D3",0,0
28,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
29,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
30,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
31,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Dillard",NA,NA,"B","B0",0,0
32,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA08HOME02",1,0,"Dillard",NA,NA,"B","B0",1,"Dillard",NA,NA,"B","B1",0,0
33,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA08HOME03",1,1,"Dillard",NA,NA,"B","B1",2,"Dillard",NA,NA,"B","B2",0,0
34,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA08HOME04",3,2,"Dillard",NA,NA,"B","B2",3,NA,"Dillard",NA,"C","C3",0,0
35,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
36,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA09AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
