GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY03,away,Mangum,1,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME01,home,Ammons,1,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME03,home,Lipcius,3,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA03AWAY03,away,Hatcher,8,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA04HOME05,home,Ferguson,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA04HOME05,home,Derkay,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA06HOME03,home,Lipcius,3,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA07AWAY03,away,Macnamee,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA07AWAY04,away,Macnamee,4,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA07AWAY06,away,Foscue,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA07AWAY07,away,Skelton,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA07AWAY07,away,Foscue,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,1,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA08HOME02,home,Derkay,5,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA10HOME02,home,Ferguson,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA10HOME03,home,Gray,9,out,0,0,0,0,0,1,p,2b,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA10HOME03,home,Rucker,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA10HOME03,home,Ferguson,7,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA10HOME04,home,Rucker,8,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,1
MSST_TENN_0406201901,MSST_TENN_0406201901_PA10HOME04,home,Ferguson,7,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA13AWAY03,away,Jones,8,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
