GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA02HOME03,home,Martin,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA02HOME05,home,Martin,1,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA02HOME06,home,Fletcher,4,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA03AWAY03,away,Zabowski,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA03AWAY04,away,Zabowski,6,out,2,0,-2,0,0,1,3b,2b,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME02,home,Nesbit,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME03,home,Franklin,9,out,0,0,0,0,0,1,3b,2b,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME03,home,Opitz,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME03,home,Nesbit,7,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME04,home,Opitz,8,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME04,home,Nesbit,7,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA04HOME05,home,Kjerstad,2,out,0,0,0,0,0,1,1b,p.,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA05AWAY01,away,Graham,8,out,0,0,0,0,0,1,1b,p.,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA06HOME02,home,Ezell,3,advanced,1,2,1,0,0,0,NA,NA,0,0,1,0,0,1
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA06HOME03,home,Ezell,3,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA06HOME04,home,Goodheart,5,out,0,0,0,0,0,1,1b,p,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA06HOME04,home,Fletcher,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA06HOME04,home,Ezell,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA07AWAY02,away,Kessinger,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA07AWAY03,away,Keenan,3,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA07AWAY03,away,Kessinger,2,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA07AWAY05,away,Dillard,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA07AWAY05,away,Keenan,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA10HOME04,home,Fletcher,4,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA12HOME02,home,Nesbit,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA12HOME05,home,Martin,1,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA14HOME03,home,Kjerstad,2,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA14HOME06,home,Ezell,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA15AWAY04,away,Kessinger,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA15AWAY06,away,Keenan,3,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
OMSS_ARKS_0329201901,OMSS_ARKS_0329201901_PA15AWAY06,away,Kessinger,2,stole,2,3,1,1,1,0,NA,NA,0,0,0,0,0,0
