"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
2,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Kessinger",NA,NA,"B","B1",0,1
3,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA01AWAY03",1,1,"Kessinger",NA,NA,"B","B1",2,"Kessinger",NA,NA,"B","B2",0,1
4,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA01AWAY04",2,2,"Kessinger",NA,NA,"B","B2",2,"Dillard",NA,"Kessinger","F","F2",0,1
5,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA01AWAY05",3,2,"Dillard",NA,"Kessinger","F","F2",2,"Zabowski",NA,"Dillard","F","F2",1,1
6,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA01AWAY06",1,2,"Zabowski",NA,"Dillard","F","F2",3,"Zabowski",NA,"Dillard","F","F3",0,0
7,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
11,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA03AWAY02",1,0,NA,NA,NA,"A","A0",0,"Adams",NA,NA,"B","B0",0,0
12,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA03AWAY03",2,0,"Adams",NA,NA,"B","B0",1,"Servideo",NA,NA,"B","B1",0,0
13,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA03AWAY04",1,1,"Servideo",NA,NA,"B","B1",2,"Servideo",NA,NA,"B","B2",0,0
14,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA03AWAY05",1,2,"Servideo",NA,NA,"B","B2",2,NA,"Servideo",NA,"C","C2",0,0
15,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA03AWAY06",1,2,NA,"Servideo",NA,"C","C2",3,NA,"Servideo",NA,"C","C3",0,0
16,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
17,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Goodheart",NA,NA,"B","B1",0,0
18,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA04HOME03",2,1,"Goodheart",NA,NA,"B","B1",1,"Kenley",NA,"Goodheart","F","F1",0,0
19,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA04HOME04",1,1,"Kenley",NA,"Goodheart","F","F1",2,NA,NA,"Goodheart","D","D2",0,0
20,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA04HOME05",1,2,NA,NA,"Goodheart","D","D2",3,NA,NA,"Goodheart","D","D3",0,0
21,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Keenan",NA,NA,"B","B0",0,0
22,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA05AWAY02",2,0,"Keenan",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
23,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,"Zabowski",NA,NA,"B","B2",0,0
24,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA05AWAY04",2,2,"Zabowski",NA,NA,"B","B2",2,"Johnson","Zabowski",NA,"E","E2",0,0
25,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA05AWAY05",1,2,"Johnson","Zabowski",NA,"E","E2",3,"Johnson","Zabowski",NA,"E","E3",0,0
26,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
27,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
28,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
29,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Adams",NA,NA,"B","B0",0,0
30,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA07AWAY02",1,0,"Adams",NA,NA,"B","B0",1,"Adams",NA,NA,"B","B1",0,0
31,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA07AWAY03",2,1,"Adams",NA,NA,"B","B1",1,"Olenek","Adams",NA,"E","E1",0,0
32,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA07AWAY04",1,1,"Olenek","Adams",NA,"E","E1",2,NA,"Adams",NA,"C","C2",0,0
33,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA07AWAY06",1,2,NA,"Adams",NA,"C","C2",2,NA,NA,"Adams","D","D2",0,0
34,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA07AWAY07",1,2,NA,NA,"Adams","D","D2",3,NA,NA,"Adams","D","D3",0,0
35,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Kjerstad",NA,NA,"B","B0",0,2
36,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA08HOME02",2,0,"Kjerstad",NA,NA,"B","B0",0,"Ezell","Kjerstad",NA,"E","E0",0,2
37,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA08HOME04",3,0,"Ezell","Kjerstad",NA,"E","E0",0,"Fletcher",NA,"Ezell","F","F0",1,2
38,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA08HOME05",3,0,"Fletcher",NA,"Ezell","F","F0",2,NA,NA,NA,"A","A2",1,1
39,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA08HOME06",1,2,NA,NA,NA,"A","A2",2,"Kenley",NA,NA,"B","B2",0,0
40,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA08HOME07",1,2,"Kenley",NA,NA,"B","B2",3,"Kenley",NA,NA,"B","B3",0,0
41,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY02",1,0,NA,NA,NA,"A","A0",0,"Keenan",NA,NA,"B","B0",0,2
42,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY03",2,0,"Keenan",NA,NA,"B","B0",0,NA,"Dillard","Keenan","G","G0",0,2
43,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY04",3,0,NA,"Dillard","Keenan","G","G0",0,"Zabowski",NA,NA,"B","B0",2,2
44,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY05",1,0,"Zabowski",NA,NA,"B","B0",1,"Zabowski",NA,NA,"B","B1",0,0
45,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY06",2,1,"Zabowski",NA,NA,"B","B1",1,"Graham","Zabowski",NA,"E","E1",0,0
46,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY08",1,1,"Graham","Zabowski",NA,"E","E1",2,"Graham","Zabowski",NA,"E","E2",0,0
47,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA09AWAY09",1,2,"Graham","Zabowski",NA,"E","E2",3,"Graham","Zabowski",NA,"E","E3",0,0
48,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,3
49,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA10HOME02",1,1,NA,NA,NA,"A","A1",1,"Franklin",NA,NA,"B","B1",0,3
50,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA10HOME03",2,1,"Franklin",NA,NA,"B","B1",1,NA,NA,NA,"A","A1",2,3
51,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA10HOME05",1,1,NA,NA,NA,"A","A1",1,"Kjerstad",NA,NA,"B","B1",0,1
52,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA10HOME06",1,1,"Kjerstad",NA,NA,"B","B1",2,"Kjerstad",NA,NA,"B","B2",0,1
53,"OMSS_ARKS_0331201901","OMSS_ARKS_0331201901_PA10HOME07",3,2,"Kjerstad",NA,NA,"B","B2",2,NA,NA,"Fletcher","D","D2",1,1
