"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA01AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA01AWAY03",1,1,NA,NA,NA,"A","A1",1,"Kessinger",NA,NA,"B","B1",0,0
3,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA01AWAY04",2,1,"Kessinger",NA,NA,"B","B1",1,"Keenan","Kessinger",NA,"E","E1",0,0
4,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA01AWAY05",2,1,"Keenan","Kessinger",NA,"E","E1",3,"Keenan",NA,NA,"B","B3",0,0
5,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Howell",NA,NA,"B","B1",0,0
7,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA02HOME03",2,1,"Howell",NA,NA,"B","B1",2,"Julien",NA,NA,"B","B2",0,0
8,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA02HOME04",2,2,"Julien",NA,NA,"B","B2",2,"Woley","Julien",NA,"E","E2",0,0
9,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA02HOME05",1,2,"Woley","Julien",NA,"E","E2",3,"Woley","Julien",NA,"E","E3",0,0
10,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
11,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA03AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
12,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA03AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
13,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA03AWAY04",1,2,NA,NA,NA,"A","A2",2,"Adams",NA,NA,"B","B2",0,0
14,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA03AWAY05",1,2,"Adams",NA,NA,"B","B2",3,"Adams",NA,NA,"B","B3",0,0
15,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
16,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA04HOME02",1,0,NA,NA,NA,"A","A0",0,"Williams",NA,NA,"B","B0",0,0
17,"OMSS_AUBN_0419201901","OMSS_AUBN_0419201901_PA04HOME03",1,0,"Williams",NA,NA,"B","B0",1,"Williams",NA,NA,"B","B1",0,0
