"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,"Keenan",NA,"C","C2",0,0
4,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA01AWAY04",1,2,NA,"Keenan",NA,"C","C2",3,NA,"Keenan",NA,"C","C3",0,0
5,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Duplantis",NA,NA,"B","B1",0,0
7,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA02HOME03",1,1,"Duplantis",NA,NA,"B","B1",2,"Duplantis",NA,NA,"B","B2",0,0
8,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA02HOME04",2,2,"Duplantis",NA,NA,"B","B2",2,"Smith","Duplantis",NA,"E","E2",0,0
9,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA02HOME05",1,2,"Smith","Duplantis",NA,"E","E2",3,"Smith","Duplantis",NA,"E","E3",0,0
10,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,4
11,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,NA,"Zabowski",NA,"C","C1",0,4
12,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY03",2,1,NA,"Zabowski",NA,"C","C1",1,"Johnson",NA,NA,"B","B1",1,4
13,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY04",2,1,"Johnson",NA,NA,"B","B1",1,"Graham",NA,"Johnson","F","F1",0,3
14,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY05",3,1,"Graham",NA,"Johnson","F","F1",1,"Adams","Graham",NA,"E","E1",1,3
15,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY06",3,1,"Adams","Graham",NA,"E","E1",2,NA,"Adams","Graham","G","G2",0,2
16,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY07",3,2,NA,"Adams","Graham","G","G2",2,NA,"Kessinger",NA,"C","C2",2,2
17,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY08",1,2,NA,"Kessinger",NA,"C","C2",2,"Keenan","Kessinger",NA,"E","E2",0,0
18,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA03AWAY09",1,2,"Keenan","Kessinger",NA,"E","E2",3,"Keenan","Kessinger",NA,"E","E3",0,0
19,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
22,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Olenek",NA,NA,"B","B0",0,3
23,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY02",2,0,"Olenek",NA,NA,"B","B0",0,"Zabowski","Olenek",NA,"E","E0",0,3
24,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY03",2,0,"Zabowski","Olenek",NA,"E","E0",0,NA,"Zabowski","Olenek","G","G0",0,3
25,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY04",3,0,NA,"Zabowski","Olenek","G","G0",0,"Johnson",NA,NA,"B","B0",2,3
26,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY05",1,0,"Johnson",NA,NA,"B","B0",1,"Johnson",NA,NA,"B","B1",0,1
27,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY06",3,1,"Johnson",NA,NA,"B","B1",1,NA,"Adams",NA,"C","C1",1,1
28,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY08",1,1,NA,"Adams",NA,"C","C1",2,NA,"Adams",NA,"C","C2",0,0
29,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA05AWAY09",1,2,NA,"Adams",NA,"C","C2",3,NA,"Adams",NA,"C","C3",0,0
30,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
31,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
32,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
33,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
34,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
35,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
36,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
37,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME02",1,0,NA,NA,NA,"A","A0",0,"Smith",NA,NA,"B","B0",0,0
38,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME03",1,0,"Smith",NA,NA,"B","B0",1,"Smith",NA,NA,"B","B1",0,0
39,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME04",1,1,"Smith",NA,NA,"B","B1",1,NA,"Smith",NA,"C","C1",0,0
40,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME05",2,1,NA,"Smith",NA,"C","C1",1,"Reid",NA,"Smith","F","F1",0,0
41,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME06",1,1,"Reid",NA,"Smith","F","F1",2,"Reid",NA,"Smith","F","F2",0,0
42,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA08HOME07",1,2,"Reid",NA,"Smith","F","F2",3,"Reid",NA,"Smith","F","F3",0,0
43,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,3
44,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY02",1,0,NA,NA,NA,"A","A0",0,"Johnson",NA,NA,"B","B0",0,2
45,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY03",2,0,"Johnson",NA,NA,"B","B0",0,NA,NA,NA,"A","A0",2,2
46,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY04",1,0,NA,NA,NA,"A","A0",0,NA,"Adams",NA,"C","C0",0,0
47,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY05",1,0,NA,"Adams",NA,"C","C0",1,NA,"Adams",NA,"C","C1",0,0
48,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY06",1,1,NA,"Adams",NA,"C","C1",2,NA,"Adams",NA,"C","C2",0,0
49,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA09AWAY07",1,2,NA,"Adams",NA,"C","C2",3,NA,"Adams",NA,"C","C3",0,0
50,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Broussard",NA,NA,"B","B0",0,3
51,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA10HOME02",1,0,"Broussard",NA,NA,"B","B0",1,"Broussard",NA,NA,"B","B1",0,3
52,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA10HOME03",2,1,"Broussard",NA,NA,"B","B1",1,"Duplantis",NA,"Broussard","F","F1",0,3
53,"OMSS_LSTU_0505201901","OMSS_LSTU_0505201901_PA10HOME04",3,1,"Duplantis",NA,"Broussard","F","F1",1,"Beloso",NA,"Duplantis","F","F1",1,3
