"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,NA,"Ammons",NA,"C","C0",0,1
5,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA02HOME02",3,0,NA,"Ammons",NA,"C","C0",1,NA,NA,"Ammons","D","D1",0,1
6,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA02HOME03",2,1,NA,NA,"Ammons","D","D1",1,"Lipcius",NA,NA,"B","B1",1,1
7,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA02HOME04",2,1,"Lipcius",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
8,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA03AWAY01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
10,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Zabowski",NA,NA,"B","B2",0,0
11,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA03AWAY04",1,2,"Zabowski",NA,NA,"B","B2",3,"Zabowski",NA,NA,"B","B3",0,0
12,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Russell",NA,NA,"B","B0",0,0
13,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA04HOME02",2,0,"Russell",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
14,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
15,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Martinez",NA,NA,"B","B0",0,0
19,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA06HOME02",3,0,"Martinez",NA,NA,"B","B0",1,NA,"Martinez",NA,"C","C1",0,0
20,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA06HOME03",2,1,NA,"Martinez",NA,"C","C1",2,NA,NA,"Martinez","D","D2",0,0
21,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA06HOME04",1,2,NA,NA,"Martinez","D","D2",3,NA,NA,"Martinez","D","D3",0,0
22,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
23,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA07AWAY02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
24,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA07AWAY03",2,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
25,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
26,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA08HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
27,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA08HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
28,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
29,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",1,"Zabowski",NA,NA,"B","B1",0,0
30,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA09AWAY03",1,1,"Zabowski",NA,NA,"B","B1",2,"Zabowski",NA,NA,"B","B2",0,0
31,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA09AWAY04",1,2,"Zabowski",NA,NA,"B","B2",3,"Zabowski",NA,NA,"B","B3",0,0
32,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Rucker",NA,NA,"B","B0",0,4
33,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME02",2,0,"Rucker",NA,NA,"B","B0",0,"Derkay","Rucker",NA,"E","E0",0,4
34,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME03",3,0,"Derkay","Rucker",NA,"E","E0",0,NA,"Martinez",NA,"C","C0",2,4
35,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME04",3,0,NA,"Martinez",NA,"C","C0",0,NA,"Pavolony",NA,"C","C0",1,2
36,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME05",1,0,NA,"Pavolony",NA,"C","C0",1,NA,"Pavolony",NA,"C","C1",0,1
37,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME06",1,1,NA,"Pavolony",NA,"C","C1",2,NA,"Pavolony",NA,"C","C2",0,1
38,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME07",2,2,NA,"Pavolony",NA,"C","C2",2,"Lipcius",NA,NA,"B","B2",1,1
39,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA10HOME08",1,2,"Lipcius",NA,NA,"B","B2",3,"Lipcius",NA,NA,"B","B3",0,0
40,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
41,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
42,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA11AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
43,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
44,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA12HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
45,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA12HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
46,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
47,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA13AWAY02",1,1,NA,NA,NA,"A","A1",1,"Dillard",NA,NA,"B","B1",0,0
48,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA13AWAY04",2,1,"Dillard",NA,NA,"B","B1",2,"Olenek",NA,NA,"B","B2",0,0
49,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA13AWAY05",1,2,"Olenek",NA,NA,"B","B2",3,"Olenek",NA,NA,"B","B3",0,0
50,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA14HOME01",1,0,NA,NA,NA,"A","A0",0,"Martinez",NA,NA,"B","B0",0,0
51,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA14HOME02",3,0,"Martinez",NA,NA,"B","B0",1,NA,"Martinez",NA,"C","C1",0,0
52,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA14HOME03",1,1,NA,"Martinez",NA,"C","C1",2,NA,"Martinez",NA,"C","C2",0,0
53,"OMSS_TENN_0516201901","OMSS_TENN_0516201901_PA14HOME04",1,2,NA,"Martinez",NA,"C","C2",3,NA,"Martinez",NA,"C","C3",0,0
