"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Hopkins",NA,NA,"B","B2",0,0
4,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA01AWAY04",1,2,"Hopkins",NA,NA,"B","B2",2,NA,"Hopkins",NA,"C","C2",0,0
5,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA01AWAY05",1,2,NA,"Hopkins",NA,"C","C2",2,"Berryhill","Hopkins",NA,"E","E2",0,0
6,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA01AWAY06",1,2,"Berryhill","Hopkins",NA,"E","E2",3,"Berryhill","Hopkins",NA,"E","E3",0,0
7,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Mccullough",NA,NA,"B","B2",0,0
10,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA02HOME04",1,2,"Mccullough",NA,NA,"B","B2",3,"Mccullough",NA,NA,"B","B3",0,0
11,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
12,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Cullen",NA,NA,"B","B1",0,0
13,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA03AWAY03",2,1,"Cullen",NA,NA,"B","B1",2,NA,"Cullen",NA,"C","C2",0,0
14,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA03AWAY04",1,2,NA,"Cullen",NA,"C","C2",3,NA,"Cullen",NA,"C","C3",0,0
15,"SCAR_ABAM_0405201902","SCAR_ABAM_0405201902_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,NA,"Williamson",NA,"C","C0",0,0
