"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA01AWAY01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Hopkins",NA,NA,"B","B2",0,0
4,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA01AWAY04",1,2,"Hopkins",NA,NA,"B","B2",3,"Hopkins",NA,NA,"B","B3",0,0
5,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,"Olson",NA,"C","C0",0,1
9,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA03AWAY02",1,0,NA,"Olson",NA,"C","C0",1,NA,"Olson",NA,"C","C1",0,1
10,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA03AWAY03",1,1,NA,"Olson",NA,"C","C1",1,NA,NA,"Olson","D","D1",0,1
11,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA03AWAY04",1,1,NA,NA,"Olson","D","D1",2,NA,NA,"Olson","D","D2",0,1
12,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA03AWAY05",2,2,NA,NA,"Olson","D","D2",2,"Cullen",NA,NA,"B","B2",1,1
