"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Berryhill",NA,NA,"B","B2",0,0
4,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA01AWAY04",1,2,"Berryhill",NA,NA,"B","B2",2,NA,"Berryhill",NA,"C","C2",0,0
5,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA01AWAY05",1,2,NA,"Berryhill",NA,"C","C2",3,NA,"Berryhill",NA,"C","C3",0,0
6,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA02HOME03",2,2,NA,NA,NA,"A","A2",2,NA,NA,"Misner","D","D2",0,0
9,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA02HOME04",1,2,NA,NA,"Misner","D","D2",3,NA,NA,"Misner","D","D3",0,0
10,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Olson",NA,NA,"B","B0",0,0
11,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA03AWAY02",1,0,"Olson",NA,NA,"B","B0",1,"Olson",NA,NA,"B","B1",0,0
12,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA03AWAY03",2,1,"Olson",NA,NA,"B","B1",2,NA,"Olson",NA,"C","C2",0,0
13,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA03AWAY04",1,2,NA,"Olson",NA,"C","C2",3,NA,"Olson",NA,"C","C3",0,0
14,"SCAR_MIZZ_0426201901","SCAR_MIZZ_0426201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
