"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA01AWAY01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA01AWAY02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Allen",NA,NA,"B","B2",0,0
7,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA02HOME04",2,2,"Allen",NA,NA,"B","B2",3,"Foscue",NA,NA,"B","B3",0,0
8,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Olson",NA,NA,"B","B1",0,0
10,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA03AWAY03",2,1,"Olson",NA,NA,"B","B1",1,"Berryhill","Olson",NA,"E","E1",0,0
11,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA03AWAY04",1,1,"Berryhill","Olson",NA,"E","E1",2,"Berryhill","Olson",NA,"E","E2",0,0
12,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA03AWAY05",2,2,"Berryhill","Olson",NA,"E","E2",2,NA,"Berryhill","Olson","G","G2",0,0
13,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA03AWAY06",1,2,NA,"Berryhill","Olson","G","G2",3,NA,"Berryhill","Olson","G","G3",0,0
14,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Jordan",NA,NA,"B","B1",0,0
16,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA04HOME03",1,1,"Jordan",NA,NA,"B","B1",2,"Jordan",NA,NA,"B","B2",0,0
17,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA04HOME04",1,2,"Jordan",NA,NA,"B","B2",3,"Jordan",NA,NA,"B","B3",0,0
18,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Cullen",NA,NA,"B","B0",0,2
19,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY02",2,0,"Cullen",NA,NA,"B","B0",0,"Beamon","Cullen",NA,"E","E0",0,2
20,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY03",2,0,"Beamon","Cullen",NA,"E","E0",1,"Beamon",NA,"Cullen","F","F1",0,2
21,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY04",2,1,"Beamon",NA,"Cullen","F","F1",1,"Eyster","Beamon","Cullen","H","H1",0,2
22,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY05",3,1,"Eyster","Beamon","Cullen","H","H1",1,NA,"Eyster","Beamon","G","G1",1,2
23,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY06",1,1,NA,"Eyster","Beamon","G","G1",1,"Clarke","Eyster","Beamon","H","H1",0,1
24,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY07",3,1,"Clarke","Eyster","Beamon","H","H1",1,NA,"Clarke","Eyster","G","G1",1,1
25,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY08",1,1,NA,"Clarke","Eyster","G","G1",2,NA,"Clarke","Eyster","G","G2",0,0
26,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA05AWAY09",1,2,NA,"Clarke","Eyster","G","G2",3,NA,"Clarke","Eyster","G","G3",0,0
27,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA06HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
28,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
29,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
30,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
31,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA07AWAY02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
32,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
33,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Allen",NA,NA,"B","B0",0,2
34,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME02",2,0,"Allen",NA,NA,"B","B0",0,"Foscue","Allen",NA,"E","E0",0,2
35,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME03",3,0,"Foscue","Allen",NA,"E","E0",1,"Skelton","Foscue",NA,"E","E1",0,2
36,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME04",3,1,"Skelton","Foscue",NA,"E","E1",1,"Jordan",NA,"Skelton","F","F1",1,2
37,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME05",1,1,"Jordan",NA,"Skelton","F","F1",1,NA,"Jordan","Skelton","G","G1",0,1
38,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME06",2,1,NA,"Jordan","Skelton","G","G1",2,NA,"Jordan",NA,"C","C2",1,1
39,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME07",1,2,NA,"Jordan",NA,"C","C2",2,NA,"Jordan",NA,"C","C2",0,0
40,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA08HOME08",1,2,NA,"Jordan",NA,"C","C2",3,NA,"Jordan",NA,"C","C3",0,0
41,"SCAR_MSST_0517201901","SCAR_MSST_0517201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
