"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
2,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
3,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,1
4,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA01AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
5,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Ezell",NA,NA,"B","B0",0,1
6,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA02HOME02",2,0,"Ezell",NA,NA,"B","B0",0,"Martin","Ezell",NA,"E","E0",0,1
7,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA02HOME03",3,0,"Martin","Ezell",NA,"E","E0",0,"Goodheart","Martin",NA,"E","E0",1,1
8,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA02HOME04",1,0,"Goodheart","Martin",NA,"E","E0",1,"Goodheart","Martin",NA,"E","E1",0,0
9,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA02HOME05",3,1,"Goodheart","Martin",NA,"E","E1",2,NA,"Goodheart","Martin","G","G2",0,0
10,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA02HOME06",1,2,NA,"Goodheart","Martin","G","G2",3,NA,"Goodheart","Martin","G","G3",0,0
11,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Russell",NA,NA,"B","B0",0,0
12,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA03AWAY02",1,0,"Russell",NA,NA,"B","B0",1,"Russell",NA,NA,"B","B1",0,0
13,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA03AWAY03",1,1,"Russell",NA,NA,"B","B1",2,"Russell",NA,NA,"B","B2",0,0
14,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA03AWAY04",1,2,"Russell",NA,NA,"B","B2",3,"Russell",NA,NA,"B","B3",0,0
15,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Nesbit",NA,NA,"B","B0",0,0
16,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA04HOME02",1,0,"Nesbit",NA,NA,"B","B0",1,"Nesbit",NA,NA,"B","B1",0,0
17,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA04HOME03",1,1,"Nesbit",NA,NA,"B","B1",1,NA,NA,"Nesbit","D","D1",0,0
18,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA04HOME04",1,1,NA,NA,"Nesbit","D","D1",2,NA,NA,"Nesbit","D","D2",0,0
19,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA04HOME05",1,2,NA,NA,"Nesbit","D","D2",3,NA,NA,"Nesbit","D","D3",0,0
20,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Gray",NA,NA,"B","B0",0,2
21,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY02",1,0,"Gray",NA,NA,"B","B0",1,"Gray",NA,NA,"B","B1",0,2
22,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY03",1,1,"Gray",NA,NA,"B","B1",2,"Gray",NA,NA,"B","B2",0,2
23,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY04",2,2,"Gray",NA,NA,"B","B2",2,"Lipcius","Gray",NA,"E","E2",0,2
24,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY05",3,2,"Lipcius","Gray",NA,"E","E2",2,"Soularie","Lipcius","Gray","H","H2",0,2
25,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY06",5,2,"Soularie","Lipcius","Gray","H","H2",2,NA,"Soularie","Russell","G","G2",2,2
26,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY07",1,2,NA,"Soularie","Russell","G","G2",3,NA,"Soularie","Russell","G","G3",0,0
27,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Martin",NA,NA,"B","B0",0,3
