"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
7,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA04HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
13,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
14,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
15,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,NA,"Ferguson","D","D2",0,1
16,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA05AWAY04",2,2,NA,NA,"Ferguson","D","D2",2,"Ammons",NA,NA,"B","B2",1,1
17,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA05AWAY05",2,2,"Ammons",NA,NA,"B","B2",2,"Charleston","Ammons",NA,"E","E2",0,0
18,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA05AWAY06",1,2,"Charleston","Ammons",NA,"E","E2",3,"Charleston","Ammons",NA,"E","E3",0,0
19,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",2,"Scheffler",NA,NA,"B","B2",0,0
22,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA06HOME04",1,2,"Scheffler",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
23,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Soularie",NA,NA,"B","B0",0,1
24,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA07AWAY03",1,0,"Soularie",NA,NA,"B","B0",1,"Soularie",NA,NA,"B","B1",0,1
25,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA07AWAY04",1,1,"Soularie",NA,NA,"B","B1",2,"Soularie",NA,NA,"B","B2",0,1
26,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA07AWAY05",2,2,"Soularie",NA,NA,"B","B2",2,"Martinez",NA,"Soularie","F","F2",0,1
27,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA07AWAY06",2,2,"Martinez",NA,"Soularie","F","F2",2,NA,NA,"Martinez","D","D2",1,1
28,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA07AWAY07",1,2,NA,NA,"Martinez","D","D2",3,NA,NA,"Martinez","D","D3",0,0
29,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
30,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA08HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
31,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA08HOME03",1,2,NA,NA,NA,"A","A2",2,"Woley",NA,NA,"B","B2",0,0
32,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA08HOME04",1,2,"Woley",NA,NA,"B","B2",3,"Woley",NA,NA,"B","B3",0,0
33,"TENN_AUBN_0317201901","TENN_AUBN_0317201901_PA09AWAY01",2,0,NA,NA,NA,"A","A0",0,NA,"Ferguson",NA,"C","C0",0,0
