"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA01AWAY01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
2,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
3,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,1
4,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA01AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
5,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
6,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA02HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA02HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA02HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
9,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Russell",NA,NA,"B","B0",0,0
10,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA03AWAY02",1,0,"Russell",NA,NA,"B","B0",1,"Russell",NA,NA,"B","B1",0,0
11,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA03AWAY03",2,1,"Russell",NA,NA,"B","B1",1,"Derkay","Russell",NA,"E","E1",0,0
12,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA03AWAY04",3,1,"Derkay","Russell",NA,"E","E1",2,NA,"Derkay","Russell","G","G2",0,0
13,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA03AWAY05",1,2,NA,"Derkay","Russell","G","G2",3,NA,"Derkay","Russell","G","G3",0,0
14,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Calilao",NA,NA,"B","B1",0,0
16,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA04HOME03",1,1,"Calilao",NA,NA,"B","B1",2,"Calilao",NA,NA,"B","B2",0,0
17,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA04HOME04",1,2,"Calilao",NA,NA,"B","B2",2,NA,"Calilao",NA,"C","C2",0,0
18,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA04HOME05",1,2,NA,"Calilao",NA,"C","C2",3,NA,"Calilao",NA,"C","C3",0,0
19,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,"Lipcius",NA,"C","C2",0,0
22,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA05AWAY04",1,2,NA,"Lipcius",NA,"C","C2",3,NA,"Lipcius",NA,"C","C3",0,0
23,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
24,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
25,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
