"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
2,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Ferguson",NA,NA,"B","B1",0,2
3,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA01AWAY03",2,1,"Ferguson",NA,NA,"B","B1",1,NA,NA,NA,"A","A1",2,2
4,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA01AWAY04",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
5,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA01AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
6,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Kessler",NA,NA,"B","B2",0,0
9,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA02HOME04",1,2,"Kessler",NA,NA,"B","B2",3,"Kessler",NA,NA,"B","B3",0,0
10,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
13,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Collett",NA,NA,"B","B0",0,1
14,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA04HOME02",2,0,"Collett",NA,NA,"B","B0",0,"Reed","Collett",NA,"E","E0",0,1
15,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA04HOME03",3,0,"Reed","Collett",NA,"E","E0",0,"Daniel","Reed",NA,"E","E0",1,1
16,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA04HOME04",3,0,"Daniel","Reed",NA,"E","E0",1,NA,"Daniel","Reed","G","G1",0,0
17,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA04HOME05",3,1,NA,"Daniel","Reed","G","G1",2,"Lewis",NA,"Daniel","F","F2",0,0
18,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA04HOME06",2,2,"Lewis",NA,"Daniel","F","F2",3,"Schultz",NA,"Daniel","F","F3",0,0
19,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
22,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
23,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
24,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
25,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
26,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",1,"Soularie",NA,NA,"B","B1",0,1
27,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA07AWAY03",2,1,"Soularie",NA,NA,"B","B1",2,NA,"Soularie",NA,"C","C2",0,1
28,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA07AWAY04",2,2,NA,"Soularie",NA,"C","C2",2,NA,"Martinez",NA,"C","C2",1,1
29,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA07AWAY05",1,2,NA,"Martinez",NA,"C","C2",2,"Rucker","Martinez",NA,"E","E2",0,0
30,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA07AWAY06",1,2,"Rucker","Martinez",NA,"E","E2",3,"Rucker","Martinez",NA,"E","E3",0,0
31,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
32,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA08HOME02",1,1,NA,NA,NA,"A","A1",1,"Reed",NA,NA,"B","B1",0,0
33,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA08HOME03",2,1,"Reed",NA,NA,"B","B1",2,NA,"Reed",NA,"C","C2",0,0
34,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA08HOME05",1,2,NA,"Reed",NA,"C","C2",3,NA,"Reed",NA,"C","C3",0,0
35,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
36,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
37,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY03",1,2,NA,NA,NA,"A","A2",2,"Ferguson",NA,NA,"B","B2",0,1
38,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY05",2,2,"Ferguson",NA,NA,"B","B2",2,"Lipcius","Ferguson",NA,"E","E2",0,1
39,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY06",1,2,"Lipcius","Ferguson",NA,"E","E2",2,"Lipcius",NA,"Ferguson","F","F2",0,1
40,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY07",1,2,"Lipcius",NA,"Ferguson","F","F2",2,NA,"Lipcius","Ferguson","G","G2",0,1
41,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY08",1,2,NA,"Lipcius","Ferguson","G","G2",2,"Soularie","Lipcius","Ferguson","H","H2",0,1
42,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY09",3,2,"Soularie","Lipcius","Ferguson","H","H2",2,NA,"Soularie","Lipcius","G","G2",1,1
43,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA09AWAY10",1,2,NA,"Soularie","Lipcius","G","G2",3,NA,"Soularie","Lipcius","G","G3",0,0
44,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Lewis",NA,NA,"B","B0",0,0
45,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA10HOME02",1,0,"Lewis",NA,NA,"B","B0",1,"Lewis",NA,NA,"B","B1",0,0
46,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA10HOME03",1,1,"Lewis",NA,NA,"B","B1",2,"Lewis",NA,NA,"B","B2",0,0
47,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA10HOME04",1,2,"Lewis",NA,NA,"B","B2",3,"Lewis",NA,NA,"B","B3",0,0
48,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY02",1,0,NA,NA,NA,"A","A0",0,NA,"Martinez",NA,"C","C0",0,3
49,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY03",3,0,NA,"Martinez",NA,"C","C0",0,NA,"Rucker",NA,"C","C0",1,3
50,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY05",3,0,NA,"Rucker",NA,"C","C0",0,NA,"Derkay","Rucker","G","G0",0,2
51,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY06",1,0,NA,"Derkay","Rucker","G","G0",1,NA,"Derkay","Rucker","G","G1",0,2
52,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY07",3,1,NA,"Derkay","Rucker","G","G1",2,NA,NA,"Derkay","D","D2",1,2
53,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY09",1,2,NA,NA,"Derkay","D","D2",2,NA,NA,NA,"A","A2",1,1
54,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY10",1,2,NA,NA,NA,"A","A2",2,"Ferguson",NA,NA,"B","B2",0,0
55,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA11AWAY11",1,2,"Ferguson",NA,NA,"B","B2",3,"Ferguson",NA,NA,"B","B3",0,0
56,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA12HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
57,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA12HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
58,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA12HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
59,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY02",1,0,NA,NA,NA,"A","A0",0,"Soularie",NA,NA,"B","B0",0,4
60,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY03",3,0,"Soularie",NA,NA,"B","B0",1,NA,"Soularie",NA,"C","C1",0,4
61,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY04",2,1,NA,"Soularie",NA,"C","C1",1,"Martinez",NA,NA,"B","B1",1,4
62,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY05",1,1,"Martinez",NA,NA,"B","B1",1,NA,"Martinez",NA,"C","C1",0,3
63,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY06",1,1,NA,"Martinez",NA,"C","C1",1,"Rucker","Martinez",NA,"E","E1",0,3
64,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY07",3,1,"Rucker","Martinez",NA,"E","E1",1,"Derkay",NA,"Rucker","F","F1",1,3
65,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY09",3,1,"Derkay",NA,"Rucker","F","F1",1,"Pavolony",NA,"Derkay","F","F1",1,2
66,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY10",3,1,"Pavolony",NA,"Derkay","F","F1",1,"Charleston","Pavolony",NA,"E","E1",1,1
67,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY11",1,1,"Charleston","Pavolony",NA,"E","E1",2,"Charleston","Pavolony",NA,"E","E2",0,0
68,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA13AWAY12",1,2,"Charleston","Pavolony",NA,"E","E2",3,"Charleston","Pavolony",NA,"E","E3",0,0
69,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA14HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
70,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA14HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
71,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA14HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
72,"TENN_KENT_0419201901","TENN_KENT_0419201901_PA15AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,3
