"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,"Ammons",NA,NA,"B","B0",0,3
2,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY02",2,0,"Ammons",NA,NA,"B","B0",0,"Charleston","Ammons",NA,"E","E0",0,3
3,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY03",3,0,"Charleston","Ammons",NA,"E","E0",0,NA,"Lipcius",NA,"C","C0",2,3
4,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY04",2,0,NA,"Lipcius",NA,"C","C0",1,NA,NA,"Lipcius","D","D1",0,1
5,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY05",2,1,NA,NA,"Lipcius","D","D1",1,"Russell",NA,NA,"B","B1",1,1
6,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY06",1,1,"Russell",NA,NA,"B","B1",2,"Russell",NA,NA,"B","B2",0,0
7,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY07",2,2,"Russell",NA,NA,"B","B2",2,"Ferguson","Russell",NA,"E","E2",0,0
8,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY08",3,2,"Ferguson","Russell",NA,"E","E2",2,"Rucker","Ferguson","Russell","H","H2",0,0
9,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA01AWAY09",1,2,"Rucker","Ferguson","Russell","H","H2",3,"Rucker","Ferguson","Russell","H","H3",0,0
10,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,3
11,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Martin",NA,NA,"B","B1",0,3
12,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME03",1,1,"Martin",NA,NA,"B","B1",2,"Martin",NA,NA,"B","B2",0,3
13,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME04",2,2,"Martin",NA,NA,"B","B2",2,"Scott",NA,"Martin","F","F2",0,3
14,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME05",3,2,"Scott",NA,"Martin","F","F2",2,NA,NA,NA,"A","A2",3,3
15,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME06",1,2,NA,NA,NA,"A","A2",2,"Ray",NA,NA,"B","B2",0,0
16,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA02HOME07",1,2,"Ray",NA,NA,"B","B2",3,"Ray",NA,NA,"B","B3",0,0
17,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
18,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Charleston",NA,NA,"B","B1",0,2
19,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY03",1,1,"Charleston",NA,NA,"B","B1",1,NA,"Charleston",NA,"C","C1",0,2
20,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY04",2,1,NA,"Charleston",NA,"C","C1",1,"Lipcius",NA,NA,"B","B1",1,2
21,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY05",2,1,"Lipcius",NA,NA,"B","B1",1,"Soularie","Lipcius",NA,"E","E1",0,1
22,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY06",1,1,"Soularie","Lipcius",NA,"E","E1",2,"Soularie","Lipcius",NA,"E","E2",0,1
23,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY07",4,2,"Soularie","Lipcius",NA,"E","E2",2,NA,"Martinez","Soularie","G","G2",1,1
24,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY08",1,2,NA,"Martinez","Soularie","G","G2",3,NA,"Martinez","Soularie","G","G3",0,0
25,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA04HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
26,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA04HOME03",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
27,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA04HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
28,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
29,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA05AWAY02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
30,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA05AWAY03",2,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
31,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
32,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
33,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
34,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
35,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",1,"Lipcius",NA,NA,"B","B1",0,2
36,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY03",2,1,"Lipcius",NA,NA,"B","B1",1,"Soularie","Lipcius",NA,"E","E1",0,2
37,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY04",3,1,"Soularie","Lipcius",NA,"E","E1",1,"Russell","Soularie","Lipcius","H","H1",0,2
38,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY05",4,1,"Russell","Soularie","Lipcius","H","H1",2,NA,"Russell","Soularie","G","G2",1,2
39,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY06",3,2,NA,"Russell","Soularie","G","G2",2,"Ferguson",NA,"Russell","F","F2",1,1
40,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA07AWAY08",1,2,"Ferguson",NA,"Russell","F","F2",3,"Ferguson",NA,"Russell","F","F3",0,0
41,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,"Clarke","D","D0",0,1
42,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA08HOME02",1,0,NA,NA,"Clarke","D","D0",1,NA,NA,"Clarke","D","D1",0,1
43,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA08HOME03",2,1,NA,NA,"Clarke","D","D1",2,NA,NA,NA,"A","A2",1,1
44,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA08HOME05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
45,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
46,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
47,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA09AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
48,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
49,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME02",1,1,NA,NA,NA,"A","A1",1,"Davis",NA,NA,"B","B1",0,2
50,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME03",2,1,"Davis",NA,NA,"B","B1",1,"Martin","Davis",NA,"E","E1",0,2
51,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME04",3,1,"Martin","Davis",NA,"E","E1",1,"Bleday",NA,"Martin","F","F1",1,2
52,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME05",1,1,"Bleday",NA,"Martin","F","F1",2,"Bleday",NA,"Martin","F","F2",0,1
53,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME07",3,2,"Bleday",NA,"Martin","F","F2",2,"Clarke","Bleday",NA,"E","E2",1,1
54,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA10HOME08",1,2,"Clarke","Bleday",NA,"E","E2",3,"Clarke","Bleday",NA,"E","E3",0,0
55,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
56,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
57,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA11AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
58,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
59,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA12HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
60,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA12HOME04",1,2,NA,NA,NA,"A","A2",2,"Infante",NA,NA,"B","B2",0,0
61,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA12HOME05",2,2,"Infante",NA,NA,"B","B2",2,"Davis","Infante",NA,"E","E2",0,0
62,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA12HOME06",1,2,"Davis","Infante",NA,"E","E2",3,"Davis","Infante",NA,"E","E3",0,0
63,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
64,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA13AWAY02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
65,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA13AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
66,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA14HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
67,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA14HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
68,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA14HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
