"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY01",2,0,NA,NA,NA,"A","A0",0,NA,"Shewmake",NA,"C","C0",0,5
2,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY02",2,0,NA,"Shewmake",NA,"C","C0",0,"Blaum",NA,NA,"B","B0",1,5
3,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY03",2,0,"Blaum",NA,NA,"B","B0",0,"Deloach","Blaum",NA,"E","E0",0,4
4,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY04",3,0,"Deloach","Blaum",NA,"E","E0",1,NA,"Deloach","Blaum","G","G1",0,4
5,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY05",3,1,NA,"Deloach","Blaum","G","G1",1,"Hoehner",NA,NA,"B","B1",2,4
6,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY06",2,1,"Hoehner",NA,NA,"B","B1",1,NA,NA,NA,"A","A1",2,2
7,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY08",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA01AWAY09",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
9,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
10,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
11,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,NA,NA,"Mccullough","D","D2",0,1
12,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA02HOME04",2,2,NA,NA,"Mccullough","D","D2",2,"Gentry",NA,NA,"B","B2",1,1
13,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA02HOME05",2,2,"Gentry",NA,NA,"B","B2",2,NA,"Williamson","Gentry","G","G2",0,0
14,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA02HOME07",1,2,NA,"Williamson","Gentry","G","G2",3,NA,"Williamson","Gentry","G","G3",0,0
15,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
19,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA04HOME02",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
20,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
21,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
22,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
23,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,"Hoehner",NA,NA,"B","B2",0,0
24,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA05AWAY04",1,2,"Hoehner",NA,NA,"B","B2",3,"Hoehner",NA,NA,"B","B3",0,0
25,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
26,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
27,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
28,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
29,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
30,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
31,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Gentry",NA,NA,"B","B0",0,1
32,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA08HOME02",2,0,"Gentry",NA,NA,"B","B0",0,"Williamson","Gentry",NA,"E","E0",0,1
33,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA08HOME03",3,0,"Williamson","Gentry",NA,"E","E0",2,NA,NA,"Gentry","D","D2",0,1
34,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA08HOME04",1,2,NA,NA,"Gentry","D","D2",2,"Breaux",NA,"Gentry","F","F2",0,1
