"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Blake",NA,NA,"B","B1",0,0
3,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA01AWAY03",2,1,"Blake",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
4,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
5,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,NA,NA,NA,"A","A1",1,1
6,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA02HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA02HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Coleman",NA,NA,"B","B1",0,0
10,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA03AWAY03",1,1,"Coleman",NA,NA,"B","B1",2,"Coleman",NA,NA,"B","B2",0,0
11,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA03AWAY04",2,2,"Coleman",NA,NA,"B","B2",2,"Hoehner",NA,"Coleman","F","F2",0,0
12,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA03AWAY05",1,2,"Hoehner",NA,"Coleman","F","F2",3,"Hoehner",NA,"Coleman","F","F3",0,0
13,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
14,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
15,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",2,"Schultz",NA,NA,"B","B2",0,0
16,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA04HOME04",2,2,"Schultz",NA,NA,"B","B2",2,"Gei","Schultz",NA,"E","E2",0,0
17,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA04HOME05",1,2,"Gei","Schultz",NA,"E","E2",2,"Gei",NA,"Schultz","F","F2",0,0
18,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA04HOME06",1,2,"Gei",NA,"Schultz","F","F2",3,"Gei",NA,"Schultz","F","F3",0,0
19,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,"Blake",NA,"C","C2",0,0
22,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA05AWAY04",1,2,NA,"Blake",NA,"C","C2",3,NA,"Blake",NA,"C","C3",0,0
23,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Daniel",NA,NA,"B","B0",0,2
24,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA06HOME02",2,0,"Daniel",NA,NA,"B","B0",0,NA,NA,NA,"A","A0",2,2
25,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA06HOME03",1,0,NA,NA,NA,"A","A0",0,"Collett",NA,NA,"B","B0",0,0
26,"TXAM_KENT_0322201901","TXAM_KENT_0322201901_PA06HOME04",2,0,"Collett",NA,NA,"B","B0",0,"Shelby","Collett",NA,"E","E0",0,0
