"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,"Blaum",NA,NA,"B","B0",0,2
2,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA01AWAY02",2,0,"Blaum",NA,NA,"B","B0",0,"Blake","Blaum",NA,"E","E0",0,2
3,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA01AWAY03",1,0,"Blake","Blaum",NA,"E","E0",1,"Blake","Blaum",NA,"E","E1",0,2
4,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA01AWAY04",2,1,"Blake","Blaum",NA,"E","E1",1,NA,"Blake","Blaum","G","G1",0,2
5,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA01AWAY05",3,1,NA,"Blake","Blaum","G","G1",1,"Hoehner",NA,NA,"B","B1",2,2
6,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA01AWAY06",2,1,"Hoehner",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
7,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
13,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA04HOME02",1,0,NA,NA,NA,"A","A0",0,"Reid",NA,NA,"B","B0",0,0
14,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA04HOME03",2,0,"Reid",NA,NA,"B","B0",1,NA,"Reid",NA,"C","C1",0,0
15,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA04HOME04",2,1,NA,"Reid",NA,"C","C1",2,NA,NA,"Reid","D","D2",0,0
16,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA04HOME05",1,2,NA,NA,"Reid","D","D2",3,NA,NA,"Reid","D","D3",0,0
17,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
18,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
19,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
20,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME01",1,0,NA,NA,NA,"A","A0",0,"Hughes",NA,NA,"B","B0",0,3
21,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME02",2,0,"Hughes",NA,NA,"B","B0",0,"Mathis","Hughes",NA,"E","E0",0,3
22,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME03",3,0,"Mathis","Hughes",NA,"E","E0",0,"Smith","Mathis","Hughes","H","H0",0,3
23,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME04",4,0,"Smith","Mathis","Hughes","H","H0",0,NA,"Watson","Smith","G","G0",2,3
24,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME06",1,0,NA,"Watson","Smith","G","G0",1,NA,"Watson","Smith","G","G1",0,1
25,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME07",3,1,NA,"Watson","Smith","G","G1",2,"Reid",NA,"Watson","F","F2",0,1
26,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME08",2,2,"Reid",NA,"Watson","F","F2",2,"Broussard","Reid","Watson","H","H2",0,1
27,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA06HOME09",4,2,"Broussard","Reid","Watson","H","H2",3,"Beloso","Broussard",NA,"E","E3",1,1
28,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA07AWAY01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
29,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
30,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA07AWAY03",1,2,NA,NA,NA,"A","A2",2,"Coleman",NA,NA,"B","B2",0,0
31,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA07AWAY04",2,2,"Coleman",NA,NA,"B","B2",2,"Foster",NA,"Coleman","F","F2",0,0
32,"TXAM_LSTU_0406201902","TXAM_LSTU_0406201902_PA07AWAY05",1,2,"Foster",NA,"Coleman","F","F2",3,"Foster",NA,"Coleman","F","F3",0,0
