"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Deloach",NA,NA,"B","B1",0,0
3,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA01AWAY03",1,1,"Deloach",NA,NA,"B","B1",2,"Deloach",NA,NA,"B","B2",0,0
4,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA01AWAY04",1,2,"Deloach",NA,NA,"B","B2",3,"Deloach",NA,NA,"B","B3",0,0
5,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Keenan",NA,NA,"B","B2",0,0
8,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA02HOME04",2,2,"Keenan",NA,NA,"B","B2",2,"Dillard","Keenan",NA,"E","E2",0,0
9,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA02HOME05",1,2,"Dillard","Keenan",NA,"E","E2",3,"Dillard","Keenan",NA,"E","E3",0,0
10,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,"Frizzell",NA,"C","C2",0,0
13,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA03AWAY04",1,2,NA,"Frizzell",NA,"C","C2",3,NA,"Frizzell",NA,"C","C3",0,0
14,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
16,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
17,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
18,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
19,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",2,"Deloach",NA,NA,"B","B2",0,0
20,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA05AWAY04",1,2,"Deloach",NA,NA,"B","B2",3,"Deloach",NA,NA,"B","B3",0,0
21,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
22,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
23,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",2,NA,"Kessinger",NA,"C","C2",0,0
24,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA06HOME04",1,2,NA,"Kessinger",NA,"C","C2",3,NA,"Kessinger",NA,"C","C3",0,0
25,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
26,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",1,"Blake",NA,NA,"B","B1",0,1
27,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY04",3,1,"Blake",NA,NA,"B","B1",1,NA,"Hoehner","Blake","G","G1",0,1
28,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY05",2,1,NA,"Hoehner","Blake","G","G1",1,"Frizzell","Hoehner",NA,"E","E1",1,1
29,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY06",3,1,"Frizzell","Hoehner",NA,"E","E1",2,NA,"Frizzell","Hoehner","G","G2",0,0
30,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY07",1,2,NA,"Frizzell","Hoehner","G","G2",3,NA,"Frizzell","Hoehner","G","G3",0,0
31,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Dillard",NA,NA,"B","B0",0,0
32,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA08HOME02",1,0,"Dillard",NA,NA,"B","B0",1,"Dillard",NA,NA,"B","B1",0,0
33,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA08HOME03",1,1,"Dillard",NA,NA,"B","B1",1,NA,"Dillard",NA,"C","C1",0,0
34,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA08HOME04",3,1,NA,"Dillard",NA,"C","C1",2,NA,"Zabowski",NA,"C","C2",0,0
35,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA08HOME05",1,2,NA,"Zabowski",NA,"C","C2",3,NA,"Zabowski",NA,"C","C3",0,0
36,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,"Blaum",NA,NA,"B","B0",0,2
37,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY02",1,0,"Blaum",NA,NA,"B","B0",1,"Blaum",NA,NA,"B","B1",0,2
38,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY03",1,1,"Blaum",NA,NA,"B","B1",2,"Blaum",NA,NA,"B","B2",0,2
39,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY04",2,2,"Blaum",NA,NA,"B","B2",2,"Foster","Blaum",NA,"E","E2",0,2
40,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY05",3,2,"Foster","Blaum",NA,"E","E2",2,"Blake","Foster",NA,"E","E2",1,2
41,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY06",3,2,"Blake","Foster",NA,"E","E2",2,"Hoehner",NA,"Blake","F","F2",1,1
42,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA09AWAY07",1,2,"Hoehner",NA,"Blake","F","F2",3,"Hoehner",NA,"Blake","F","F3",0,0
43,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
44,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA10HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
45,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA10HOME03",1,2,NA,NA,NA,"A","A2",2,NA,"Olenek",NA,"C","C2",0,0
46,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA10HOME04",1,2,NA,"Olenek",NA,"C","C2",2,"Kessinger","Olenek",NA,"E","E2",0,0
47,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA10HOME05",1,2,"Kessinger","Olenek",NA,"E","E2",3,"Kessinger","Olenek",NA,"E","E3",0,0
48,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
49,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
50,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA11AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
51,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
52,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA12HOME02",1,1,NA,NA,NA,"A","A1",1,"Johnson",NA,NA,"B","B1",0,0
53,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA12HOME03",1,1,"Johnson",NA,NA,"B","B1",2,"Johnson",NA,NA,"B","B2",0,0
54,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA12HOME04",1,2,"Johnson",NA,NA,"B","B2",3,"Johnson",NA,NA,"B","B3",0,0
55,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
56,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA13AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
57,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA13AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
58,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA14HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
59,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA14HOME04",1,1,NA,NA,NA,"A","A1",1,"Fitzsimmons",NA,NA,"B","B1",0,0
