"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA01AWAY02",1,0,NA,NA,NA,"A","A0",0,"Blaum",NA,NA,"B","B0",0,0
2,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA01AWAY03",1,0,"Blaum",NA,NA,"B","B0",1,"Blaum",NA,NA,"B","B1",0,0
3,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA01AWAY04",1,1,"Blaum",NA,NA,"B","B1",2,"Blaum",NA,NA,"B","B2",0,0
4,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA01AWAY05",1,2,"Blaum",NA,NA,"B","B2",2,NA,"Blaum",NA,"C","C2",0,0
5,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA01AWAY06",1,2,NA,"Blaum",NA,"C","C2",3,NA,"Blaum",NA,"C","C3",0,0
6,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
9,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
10,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA03AWAY02",2,1,NA,NA,NA,"A","A1",1,NA,NA,"Deloach","D","D1",0,1
11,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA03AWAY03",2,1,NA,NA,"Deloach","D","D1",1,"Coleman",NA,NA,"B","B1",1,1
12,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA03AWAY04",1,1,"Coleman",NA,NA,"B","B1",2,NA,NA,NA,"A","A2",0,0
13,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA03AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
14,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
16,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",2,"Eyster",NA,NA,"B","B2",0,0
17,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA04HOME04",1,2,"Eyster",NA,NA,"B","B2",3,"Eyster",NA,NA,"B","B3",0,0
18,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Watson",NA,NA,"B","B0",0,0
19,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA05AWAY02",2,0,"Watson",NA,NA,"B","B0",1,NA,"Watson",NA,"C","C1",0,0
20,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA05AWAY03",2,1,NA,"Watson",NA,"C","C1",2,NA,NA,"Watson","D","D2",0,0
21,"TXAM_SCAR_0418201901","TXAM_SCAR_0418201901_PA05AWAY04",1,2,NA,NA,"Watson","D","D2",2,"Shewmake",NA,"Watson","F","F2",0,0
