"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,NA,"Mccullough",NA,"C","C2",0,0
7,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA02HOME04",2,2,NA,"Mccullough",NA,"C","C2",2,"Gentry",NA,"Mccullough","F","F2",0,0
8,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA02HOME05",1,2,"Gentry",NA,"Mccullough","F","F2",3,"Gentry",NA,"Mccullough","F","F3",0,0
9,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
10,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
11,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Scott",NA,NA,"B","B2",0,0
12,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA03AWAY04",2,2,"Scott",NA,NA,"B","B2",2,NA,"Demarco","Scott","G","G2",0,0
13,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA03AWAY05",1,2,NA,"Demarco","Scott","G","G2",3,NA,"Demarco","Scott","G","G3",0,0
14,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,"Auerbach",NA,NA,"B","B0",0,0
15,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA04HOME02",1,0,"Auerbach",NA,NA,"B","B0",1,NA,NA,NA,"A","A1",0,0
16,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA04HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA04HOME04",1,2,NA,NA,NA,"A","A2",2,"Robinson",NA,NA,"B","B2",0,0
18,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA04HOME05",1,2,"Robinson",NA,NA,"B","B2",3,"Robinson",NA,NA,"B","B3",0,0
19,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
20,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,2
21,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY04",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,2
22,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY06",1,2,NA,NA,NA,"A","A2",2,NA,"Paul",NA,"C","C2",0,1
23,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY07",1,2,NA,"Paul",NA,"C","C2",2,NA,NA,"Paul","D","D2",0,1
24,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY08",2,2,NA,NA,"Paul","D","D2",2,"Clarke",NA,NA,"B","B2",1,1
25,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA05AWAY09",1,2,"Clarke",NA,NA,"B","B2",3,"Clarke",NA,NA,"B","B3",0,0
26,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA06HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
27,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
28,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",2,"Mccullough",NA,NA,"B","B2",0,0
29,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA06HOME04",1,2,"Mccullough",NA,NA,"B","B2",3,"Mccullough",NA,NA,"B","B3",0,0
30,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Scott",NA,NA,"B","B0",0,0
31,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA07AWAY02",1,0,"Scott",NA,NA,"B","B0",1,"Scott",NA,NA,"B","B1",0,0
32,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA07AWAY03",2,1,"Scott",NA,NA,"B","B1",1,"Duvall","Scott",NA,"E","E1",0,0
33,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA07AWAY04",1,1,"Duvall","Scott",NA,"E","E1",2,"Duvall","Scott",NA,"E","E2",0,0
34,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA07AWAY05",3,2,"Duvall","Scott",NA,"E","E2",2,"Martin","Duvall","Scott","H","H2",0,0
35,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA07AWAY07",2,2,"Martin","Duvall","Scott","H","H2",3,"Martin","Duvall","Scott","H","H3",0,0
36,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
37,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA08HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
38,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA08HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
39,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
40,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",1,"Clarke",NA,NA,"B","B1",0,0
41,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA09AWAY03",1,1,"Clarke",NA,NA,"B","B1",2,"Clarke",NA,NA,"B","B2",0,0
42,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA09AWAY04",2,2,"Clarke",NA,NA,"B","B2",2,"Scott",NA,"Clarke","F","F2",0,0
43,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA09AWAY06",1,2,"Scott",NA,"Clarke","F","F2",2,NA,"Scott","Clarke","G","G2",0,0
44,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA09AWAY07",1,2,NA,"Scott","Clarke","G","G2",3,NA,"Scott","Clarke","G","G3",0,0
45,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
46,"VAND_ABAM_0421201901","VAND_ABAM_0421201901_PA10HOME02",1,1,NA,NA,NA,"A","A1",1,"Trousdale",NA,NA,"B","B1",0,0
