"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Martin",NA,NA,"B","B1",0,0
3,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA01AWAY03",1,1,"Martin",NA,NA,"B","B1",2,"Martin",NA,NA,"B","B2",0,0
4,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA01AWAY04",1,2,"Martin",NA,NA,"B","B2",3,"Martin",NA,NA,"B","B3",0,0
5,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
9,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,NA,NA,NA,"A","A1",1,1
10,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA03AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
11,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA03AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
12,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,2
13,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME02",1,0,NA,NA,NA,"A","A0",0,"Cable",NA,NA,"B","B0",0,1
14,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME03",2,0,"Cable",NA,NA,"B","B0",0,"Biggar","Cable",NA,"E","E0",0,1
15,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME04",3,0,"Biggar","Cable",NA,"E","E0",0,"Rogers","Biggar","Cable","H","H0",0,1
16,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME05",2,0,"Rogers","Biggar","Cable","H","H0",1,"Rogers","Biggar",NA,"E","E1",1,1
17,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME06",3,1,"Rogers","Biggar",NA,"E","E1",2,"Maxwell",NA,"Biggar","F","F2",0,0
18,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA04HOME08",1,2,"Maxwell",NA,"Biggar","F","F2",3,NA,NA,"Biggar","D","D3",0,0
19,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",1,"Davis",NA,NA,"B","B1",0,0
21,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA05AWAY03",1,1,"Davis",NA,NA,"B","B1",2,"Davis",NA,NA,"B","B2",0,0
22,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA05AWAY04",1,2,"Davis",NA,NA,"B","B2",2,NA,"Davis",NA,"C","C2",0,0
23,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA05AWAY05",1,2,NA,"Davis",NA,"C","C2",3,NA,"Davis",NA,"C","C3",0,0
24,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
25,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",1,"King",NA,NA,"B","B1",0,1
26,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA06HOME03",2,1,"King",NA,NA,"B","B1",1,"Schunk","King",NA,"E","E1",0,1
27,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA06HOME04",3,1,"Schunk","King",NA,"E","E1",1,"Talley","Schunk","King","H","H1",0,1
28,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA06HOME05",2,1,"Talley","Schunk","King","H","H1",2,"Talley","Schunk",NA,"E","E2",1,1
29,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA06HOME06",1,2,"Talley","Schunk",NA,"E","E2",3,"Talley","Schunk",NA,"E","E3",0,0
30,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
31,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
32,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
33,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Rogers",NA,NA,"B","B0",0,4
34,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME02",2,0,"Rogers",NA,NA,"B","B0",0,"Jernigan","Rogers",NA,"E","E0",0,4
35,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME03",3,0,"Jernigan","Rogers",NA,"E","E0",0,"Maxwell","Jernigan","Rogers","H","H0",0,4
36,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME05",1,0,"Maxwell","Jernigan","Rogers","H","H0",1,"Maxwell","Jernigan","Rogers","H","H1",0,4
37,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME06",4,1,"Maxwell","Jernigan","Rogers","H","H1",1,NA,NA,NA,"A","A1",4,4
38,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME07",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
39,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA08HOME08",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
40,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
41,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA09AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
42,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA09AWAY04",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,1
43,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA09AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
44,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Cable",NA,NA,"B","B0",0,0
45,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA10HOME02",2,0,"Cable",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
46,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA10HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
47,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
48,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA11AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
49,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA11AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
50,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",0,"Jernigan",NA,NA,"B","B0",0,1
51,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME02",2,0,"Jernigan",NA,NA,"B","B0",1,NA,"Jernigan",NA,"C","C1",0,1
52,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME03",2,1,NA,"Jernigan",NA,"C","C1",2,NA,NA,"Jernigan","D","D2",0,1
53,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME04",1,2,NA,NA,"Jernigan","D","D2",2,NA,NA,NA,"A","A2",1,1
54,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME05",1,2,NA,NA,NA,"A","A2",2,"King",NA,NA,"B","B2",0,0
55,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME06",2,2,"King",NA,NA,"B","B2",2,"Schunk","King",NA,"E","E2",0,0
56,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA12HOME07",1,2,"Schunk","King",NA,"E","E2",3,"Schunk","King",NA,"E","E3",0,0
57,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
58,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA13AWAY02",1,1,NA,NA,NA,"A","A1",1,"Ray",NA,NA,"B","B1",0,0
59,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA13AWAY03",2,1,"Ray",NA,NA,"B","B1",2,NA,"Ray",NA,"C","C2",0,0
60,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA13AWAY04",1,2,NA,"Ray",NA,"C","C2",3,NA,"Ray",NA,"C","C3",0,0
61,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA14HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
62,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA14HOME02",1,1,NA,NA,NA,"A","A1",1,"Biggar",NA,NA,"B","B1",0,0
63,"VAND_GEOR_0406201901","VAND_GEOR_0406201901_PA14HOME04",1,1,"Biggar",NA,NA,"B","B1",2,"Biggar",NA,NA,"B","B2",0,0
