"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Bleday",NA,NA,"B","B1",0,0
3,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA01AWAY03",2,1,"Bleday",NA,NA,"B","B1",1,"Paul","Bleday",NA,"E","E1",0,0
4,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA01AWAY04",1,1,"Paul","Bleday",NA,"E","E1",2,"Paul","Bleday",NA,"E","E2",0,0
5,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA01AWAY05",1,2,"Paul","Bleday",NA,"E","E2",3,"Paul","Bleday",NA,"E","E3",0,0
6,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
7,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
8,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Curtis",NA,NA,"B","B2",0,0
9,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA02HOME04",1,2,"Curtis",NA,NA,"B","B2",2,NA,"Curtis",NA,"C","C2",0,0
10,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA02HOME05",1,2,NA,"Curtis",NA,"C","C2",3,NA,"Curtis",NA,"C","C3",0,0
11,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,1
12,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA03AWAY02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
13,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA03AWAY04",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
14,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA03AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
15,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",0,NA,"Shelby",NA,"C","C0",0,1
16,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA04HOME02",2,0,NA,"Shelby",NA,"C","C0",1,NA,NA,"Shelby","D","D1",0,1
17,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA04HOME03",2,1,NA,NA,"Shelby","D","D1",2,NA,NA,NA,"A","A2",1,1
18,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA04HOME04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
19,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,"Martin",NA,NA,"B","B0",0,6
20,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA05AWAY02",1,0,"Martin",NA,NA,"B","B0",0,NA,NA,"Martin","D","D0",0,6
21,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA05AWAY03",2,0,NA,NA,"Martin","D","D0",0,NA,NA,NA,"A","A0",2,6
22,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA05AWAY04",1,0,NA,NA,NA,"A","A0",0,"Paul",NA,NA,"B","B0",0,4
23,"VAND_KENT_0517201901","VAND_KENT_0517201901_PA05AWAY05",3,0,"Paul",NA,NA,"B","B0",1,NA,NA,NA,"A","A1",1,4
