GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA02HOME04,home,Blake,2,out,1,0,-1,0,1,1,c,2b,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA03AWAY02,away,Scott,4,out,1,0,-1,0,0,1,1b,ss,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA03AWAY03,away,Clarke,5,out,1,0,-1,0,0,1,1b,ss,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA08HOME02,home,Blake,2,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA08HOME03,home,Shewmake,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA08HOME06,home,Coleman,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA08HOME06,home,Coleman,6,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA08HOME07,home,Coleman,6,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA08HOME07,home,Coleman,6,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA10HOME04,home,Blaum,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA11AWAY02,away,Davis,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA11AWAY03,away,Martin,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA11AWAY03,away,Davis,1,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA11AWAY05,away,Clarke,5,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA12HOME04,home,Coleman,6,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA13AWAY02,away,Paul,7,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME03,home,Shewmake,3,stole,1,2,1,1,1,0,NA,NA,0,0,1,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME04,home,Shewmake,3,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME07,home,Hoehner,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME07,home,Shewmake,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME08,home,Coleman,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME08,home,Hoehner,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME09,home,Coleman,6,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME09,home,Coleman,6,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA14HOME09,home,Hoehner,4,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA17AWAY03,away,Scott,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
VAND_TXAM_0317201901,VAND_TXAM_0317201901_PA17AWAY04,away,Scott,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
