"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Blake",NA,NA,"B","B1",0,0
6,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA02HOME03",1,1,"Blake",NA,NA,"B","B1",2,"Blake",NA,NA,"B","B2",0,0
7,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA02HOME04",1,2,"Blake",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
8,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Scott",NA,NA,"B","B0",0,0
9,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA03AWAY02",2,0,"Scott",NA,NA,"B","B0",1,"Clarke",NA,NA,"B","B1",0,0
10,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA03AWAY03",2,1,"Clarke",NA,NA,"B","B1",2,"Demarco",NA,NA,"B","B2",0,0
11,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA03AWAY04",1,2,"Demarco",NA,NA,"B","B2",3,"Demarco",NA,NA,"B","B3",0,0
12,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
13,"VAND_TXAM_0317201901","VAND_TXAM_0317201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
