GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY01,bat,T. Ezell walked.,0,NA,NA,NA,A,A0,0,Ezell,NA,NA,B,B0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY02,bat,C. Martin flied out to cf.,0,Ezell,NA,NA,B,B0,1,Ezell,NA,NA,B,B1,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY03,br,T. Ezell stole second.,1,Ezell,NA,NA,B,B1,1,NA,Ezell,NA,C,C1,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY04,bat,M. Goodheart struck out looking.,1,NA,Ezell,NA,C,C1,2,NA,Ezell,NA,C,C2,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA01AWAY05,bat,D. Fletcher struck out looking.,2,NA,Ezell,NA,C,C2,3,NA,Ezell,NA,C,C3,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME01,bat,R. Johnson walked.,0,NA,NA,NA,A,A0,0,Johnson,NA,NA,B,B0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME02,bat,R. Shinn struck out looking.,0,Johnson,NA,NA,B,B0,1,Johnson,NA,NA,B,B1,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME03,bat,E. Curtis fouled out to c.,1,Johnson,NA,NA,B,B1,2,Johnson,NA,NA,B,B2,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA02HOME04,br,R. Johnson out at second c to 2b caught stealing.,2,Johnson,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY01,bat,H. Kjerstad singled to right field.,0,NA,NA,NA,A,A0,0,Kjerstad,NA,NA,B,B0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY02,bat,J. Kenley singled to center field;,0,Kjerstad,NA,NA,B,B0,0,Kenley,NA,NA,B,B0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY02,br,H. Kjerstad advanced to second.,0,Kjerstad,NA,NA,B,B0,0,Kenley,Kjerstad,NA,E,E0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY03,bat,J. Nesbit singled to third base  bunt;,0,Kenley,Kjerstad,NA,E,E0,0,Nesbit,Kjerstad,NA,E,E0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY03,br,J. Kenley advanced to second;,0,Kenley,Kjerstad,NA,E,E0,0,Nesbit,Kenley,NA,E,E0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY03,br,H. Kjerstad advanced to third.,0,Kenley,Kjerstad,NA,E,E0,0,Nesbit,Kenley,Kjerstad,H,H0,0
ARKS_KENT_0505201901,ARKS_KENT_0505201901_PA03AWAY04,bat,C. Opitz struck out swinging.,0,Nesbit,Kenley,Kjerstad,H,H0,1,Nesbit,Kenley,Kjerstad,H,H1,0
